r,Veff
1.000000e+00,-2.500000e-01
1.010000e+00,-2.402453e-01
1.020000e+00,-2.309632e-01
1.030000e+00,-2.221278e-01
1.040000e+00,-2.137147e-01
1.050000e+00,-2.057013e-01
1.060000e+00,-1.980662e-01
1.070000e+00,-1.907892e-01
1.080000e+00,-1.838515e-01
1.090000e+00,-1.772354e-01
1.100000e+00,-1.709241e-01
1.110000e+00,-1.649019e-01
1.120000e+00,-1.591541e-01
1.130000e+00,-1.536665e-01
1.140000e+00,-1.484262e-01
1.150000e+00,-1.434207e-01
1.160000e+00,-1.386383e-01
1.170000e+00,-1.340680e-01
1.180000e+00,-1.296992e-01
1.190000e+00,-1.255223e-01
1.200000e+00,-1.215278e-01
1.210000e+00,-1.177069e-01
1.220000e+00,-1.140514e-01
1.230000e+00,-1.105533e-01
1.240000e+00,-1.072052e-01
1.250000e+00,-1.040000e-01
1.260000e+00,-1.009310e-01
1.270000e+00,-9.799193e-02
1.280000e+00,-9.517670e-02
1.290000e+00,-9.247963e-02
1.300000e+00,-8.989531e-02
1.310000e+00,-8.741861e-02
1.320000e+00,-8.504466e-02
1.330000e+00,-8.276882e-02
1.340000e+00,-8.058671e-02
1.350000e+00,-7.849413e-02
1.360000e+00,-7.648713e-02
1.370000e+00,-7.456191e-02
1.380000e+00,-7.271490e-02
1.390000e+00,-7.094268e-02
1.400000e+00,-6.924198e-02
1.410000e+00,-6.760972e-02
1.420000e+00,-6.604295e-02
1.430000e+00,-6.453886e-02
1.440000e+00,-6.309478e-02
1.450000e+00,-6.170815e-02
1.460000e+00,-6.037654e-02
1.470000e+00,-5.909764e-02
1.480000e+00,-5.786923e-02
1.490000e+00,-5.668921e-02
1.500000e+00,-5.555556e-02
1.510000e+00,-5.446636e-02
1.520000e+00,-5.341978e-02
1.530000e+00,-5.241406e-02
1.540000e+00,-5.144754e-02
1.550000e+00,-5.051861e-02
1.560000e+00,-4.962575e-02
1.570000e+00,-4.876750e-02
1.580000e+00,-4.794245e-02
1.590000e+00,-4.714929e-02
1.600000e+00,-4.638672e-02
1.610000e+00,-4.565353e-02
1.620000e+00,-4.494855e-02
1.630000e+00,-4.427065e-02
1.640000e+00,-4.361878e-02
1.650000e+00,-4.299190e-02
1.660000e+00,-4.238904e-02
1.670000e+00,-4.180924e-02
1.680000e+00,-4.125162e-02
1.690000e+00,-4.071530e-02
1.700000e+00,-4.019947e-02
1.710000e+00,-3.970332e-02
1.720000e+00,-3.922611e-02
1.730000e+00,-3.876709e-02
1.740000e+00,-3.832557e-02
1.750000e+00,-3.790087e-02
1.760000e+00,-3.749237e-02
1.770000e+00,-3.709943e-02
1.780000e+00,-3.672147e-02
1.790000e+00,-3.635792e-02
1.800000e+00,-3.600823e-02
1.810000e+00,-3.567188e-02
1.820000e+00,-3.534836e-02
1.830000e+00,-3.503720e-02
1.840000e+00,-3.473792e-02
1.850000e+00,-3.445008e-02
1.860000e+00,-3.417326e-02
1.870000e+00,-3.390704e-02
1.880000e+00,-3.365102e-02
1.890000e+00,-3.340483e-02
1.900000e+00,-3.316810e-02
1.910000e+00,-3.294048e-02
1.920000e+00,-3.272163e-02
1.930000e+00,-3.251122e-02
