tau,r,phi,t
0.0000000000e+00,1.6348469228e+01,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,1.6348469228e+01,1.1224501604e-02,1.0492952465e+00
2.0000000000e+00,1.6348469228e+01,2.2449003208e-02,2.0985904931e+00
3.0000000000e+00,1.6348469228e+01,3.3673504811e-02,3.1478857397e+00
4.0000000000e+00,1.6348469228e+01,4.4898006415e-02,4.1971809862e+00
5.0000000000e+00,1.6348469228e+01,5.6122508019e-02,5.2464762327e+00
5.9999999999e+00,1.6348469228e+01,6.7347009623e-02,6.2957714792e+00
6.9999999999e+00,1.6348469228e+01,7.8571511226e-02,7.3450667258e+00
7.9999999999e+00,1.6348469228e+01,8.9796012829e-02,8.3943619723e+00
8.9999999998e+00,1.6348469228e+01,1.0102051443e-01,9.4436572189e+00
9.9999999998e+00,1.6348469228e+01,1.1224501604e-01,1.0492952466e+01
1.1000000000e+01,1.6348469228e+01,1.2346951764e-01,1.1542247712e+01
1.2000000000e+01,1.6348469228e+01,1.3469401924e-01,1.2591542959e+01
1.3000000000e+01,1.6348469228e+01,1.4591852084e-01,1.3640838205e+01
1.4000000000e+01,1.6348469228e+01,1.5714302245e-01,1.4690133452e+01
1.5000000000e+01,1.6348469228e+01,1.6836752405e-01,1.5739428699e+01
1.6000000000e+01,1.6348469228e+01,1.7959202565e-01,1.6788723945e+01
1.7000000000e+01,1.6348469228e+01,1.9081652726e-01,1.7838019192e+01
1.7999999999e+01,1.6348469228e+01,2.0204102886e-01,1.8887314438e+01
1.8999999999e+01,1.6348469228e+01,2.1326553046e-01,1.9936609685e+01
1.9999999999e+01,1.6348469228e+01,2.2449003207e-01,2.0985904932e+01
2.0999999999e+01,1.6348469228e+01,2.3571453367e-01,2.2035200178e+01
2.1999999999e+01,1.6348469228e+01,2.4693903527e-01,2.3084495425e+01
2.2999999999e+01,1.6348469228e+01,2.5816353688e-01,2.4133790671e+01
2.3999999999e+01,1.6348469228e+01,2.6938803848e-01,2.5183085918e+01
2.4999999999e+01,1.6348469228e+01,2.8061254009e-01,2.6232381165e+01
