tau,r,phi,t
0.0000000000e+00,1.0000000000e+01,0.0000000000e+00,0.0000000000e+00
1.0000000000e-02,9.9870549295e+00,4.0051847975e-04,1.8325761408e-02
2.0000000000e-02,9.9741107226e+00,8.0207656439e-04,3.6654166009e-02
3.0000000000e-02,9.9611673832e+00,1.2046782369e-03,5.4985221257e-02
4.0000000000e-02,9.9482249148e+00,1.6083275004e-03,7.3318934634e-02
5.0000000000e-02,9.9352833213e+00,2.0130283778e-03,9.1655313657e-02
6.0000000000e-02,9.9223426065e+00,2.4187849125e-03,1.0999436587e-01
7.0000000000e-02,9.9094027740e+00,2.8256011682e-03,1.2833609885e-01
8.0000000000e-02,9.8964638278e+00,3.2334812288e-03,1.4668052022e-01
9.0000000000e-02,9.8835257716e+00,3.6424291993e-03,1.6502763760e-01
1.0000000000e-01,9.8705886092e+00,4.0524492049e-03,1.8337745867e-01
1.1000000000e-01,9.8576523446e+00,4.4635453921e-03,2.0172999113e-01
1.2000000000e-01,9.8447169816e+00,4.8757219280e-03,2.2008524273e-01
1.3000000000e-01,9.8317825241e+00,5.2889830010e-03,2.3844322123e-01
1.4000000000e-01,9.8188489760e+00,5.7033328209e-03,2.5680393443e-01
1.5000000000e-01,9.8059163413e+00,6.1187756185e-03,2.7516739016e-01
1.6000000000e-01,9.7929846240e+00,6.5353156463e-03,2.9353359630e-01
1.7000000000e-01,9.7800538279e+00,6.9529571786e-03,3.1190256074e-01
1.8000000000e-01,9.7671239572e+00,7.3717045112e-03,3.3027429141e-01
1.9000000000e-01,9.7541950159e+00,7.7915619619e-03,3.4864879629e-01
2.0000000000e-01,9.7412670079e+00,8.2125338707e-03,3.6702608337e-01
2.1000000000e-01,9.7283399374e+00,8.6346245995e-03,3.8540616068e-01
2.2000000000e-01,9.7154138085e+00,9.0578385328e-03,4.0378903629e-01
2.3000000000e-01,9.7024886252e+00,9.4821800774e-03,4.2217471831e-01
2.4000000000e-01,9.6895643917e+00,9.9076536628e-03,4.4056321488e-01
2.5000000000e-01,9.6766411122e+00,1.0334263741e-02,4.5895453415e-01
2.6000000000e-01,9.6637187907e+00,1.0762014788e-02,4.7734868434e-01
2.7000000000e-01,9.6507974316e+00,1.1190911300e-02,4.9574567369e-01
2.8000000000e-01,9.6378770391e+00,1.1620957800e-02,5.1414551047e-01
2.9000000000e-01,9.6249576173e+00,1.2052158832e-02,5.3254820299e-01
3.0000000000e-01,9.6120391705e+00,1.2484518964e-02,5.5095375960e-01
3.1000000000e-01,9.5991217031e+00,1.2918042788e-02,5.6936218868e-01
3.2000000000e-01,9.5862052194e+00,1.3352734920e-02,5.8777349865e-01
3.3000000000e-01,9.5732897236e+00,1.3788599998e-02,6.0618769796e-01
3.4000000000e-01,9.5603752201e+00,1.4225642686e-02,6.2460479511e-01
3.5000000000e-01,9.5474617133e+00,1.4663867672e-02,6.4302479861e-01
3.6000000000e-01,9.5345492077e+00,1.5103279668e-02,6.6144771703e-01
3.7000000000e-01,9.5216377075e+00,1.5543883410e-02,6.7987355897e-01
3.8000000000e-01,9.5087272174e+00,1.5985683660e-02,6.9830233307e-01
3.9000000000e-01,9.4958177417e+00,1.6428685205e-02,7.1673404801e-01
4.0000000000e-01,9.4829092849e+00,1.6872892854e-02,7.3516871248e-01
4.1000000000e-01,9.4700018517e+00,1.7318311444e-02,7.5360633526e-01
4.2000000000e-01,9.4570954464e+00,1.7764945837e-02,7.7204692511e-01
4.3000000000e-01,9.4441900737e+00,1.8212800921e-02,7.9049049086e-01
4.4000000000e-01,9.4312857382e+00,1.8661881607e-02,8.0893704139e-01
4.5000000000e-01,9.4183824445e+00,1.9112192834e-02,8.2738658559e-01
4.6000000000e-01,9.4054801972e+00,1.9563739567e-02,8.4583913240e-01
4.7000000000e-01,9.3925790010e+00,2.0016526797e-02,8.6429469081e-01
4.8000000000e-01,9.3796788607e+00,2.0470559540e-02,8.8275326983e-01
4.9000000000e-01,9.3667797808e+00,2.0925842839e-02,9.0121487852e-01
5.0000000000e-01,9.3538817662e+00,2.1382381766e-02,9.1967952598e-01
5.1000000000e-01,9.3409848216e+00,2.1840181417e-02,9.3814722135e-01
5.2000000000e-01,9.3280889518e+00,2.2299246916e-02,9.5661797381e-01
5.3000000000e-01,9.3151941617e+00,2.2759583414e-02,9.7509179258e-01
5.4000000000e-01,9.3023004561e+00,2.3221196089e-02,9.9356868691e-01
5.5000000000e-01,9.2894078398e+00,2.3684090148e-02,1.0120486661e+00
5.6000000000e-01,9.2765163178e+00,2.4148270824e-02,1.0305317395e+00
5.7000000000e-01,9.2636258950e+00,2.4613743378e-02,1.0490179165e+00
5.8000000000e-01,9.2507365763e+00,2.5080513101e-02,1.0675072065e+00
5.9000000000e-01,9.2378483668e+00,2.5548585311e-02,1.0859996190e+00
6.0000000000e-01,9.2249612713e+00,2.6017965352e-02,1.1044951635e+00
6.1000000000e-01,9.2120752951e+00,2.6488658601e-02,1.1229938495e+00
6.2000000000e-01,9.1991904430e+00,2.6960670462e-02,1.1414956866e+00
6.3000000000e-01,9.1863067203e+00,2.7434006366e-02,1.1600006845e+00
6.4000000000e-01,9.1734241320e+00,2.7908671776e-02,1.1785088529e+00
6.5000000000e-01,9.1605426832e+00,2.8384672183e-02,1.1970202014e+00
6.6000000000e-01,9.1476623793e+00,2.8862013108e-02,1.2155347398e+00
6.7000000000e-01,9.1347832252e+00,2.9340700102e-02,1.2340524780e+00
6.8000000000e-01,9.1219052264e+00,2.9820738745e-02,1.2525734258e+00
6.9000000000e-01,9.1090283879e+00,3.0302134647e-02,1.2710975931e+00
7.0000000000e-01,9.0961527153e+00,3.0784893450e-02,1.2896249898e+00
7.1000000000e-01,9.0832782136e+00,3.1269020826e-02,1.3081556259e+00
7.2000000000e-01,9.0704048884e+00,3.1754522476e-02,1.3266895114e+00
7.3000000000e-01,9.0575327449e+00,3.2241404134e-02,1.3452266565e+00
7.4000000000e-01,9.0446617886e+00,3.2729671565e-02,1.3637670712e+00
7.5000000000e-01,9.0317920249e+00,3.3219330565e-02,1.3823107657e+00
7.6000000000e-01,9.0189234592e+00,3.3710386960e-02,1.4008577503e+00
7.7000000000e-01,9.0060560972e+00,3.4202846610e-02,1.4194080351e+00
7.8000000000e-01,8.9931899442e+00,3.4696715406e-02,1.4379616306e+00
7.9000000000e-01,8.9803250059e+00,3.5191999271e-02,1.4565185470e+00
8.0000000000e-01,8.9674612878e+00,3.5688704162e-02,1.4750787947e+00
8.1000000000e-01,8.9545987956e+00,3.6186836066e-02,1.4936423842e+00
8.2000000000e-01,8.9417375349e+00,3.6686401006e-02,1.5122093260e+00
8.3000000000e-01,8.9288775114e+00,3.7187405034e-02,1.5307796307e+00
8.4000000000e-01,8.9160187308e+00,3.7689854240e-02,1.5493533087e+00
8.5000000000e-01,8.9031611989e+00,3.8193754744e-02,1.5679303709e+00
8.6000000000e-01,8.8903049213e+00,3.8699112701e-02,1.5865108278e+00
8.7000000000e-01,8.8774499041e+00,3.9205934300e-02,1.6050946902e+00
8.8000000000e-01,8.8645961529e+00,3.9714225764e-02,1.6236819688e+00
8.9000000000e-01,8.8517436736e+00,4.0223993350e-02,1.6422726746e+00
9.0000000000e-01,8.8388924723e+00,4.0735243351e-02,1.6608668184e+00
9.1000000000e-01,8.8260425547e+00,4.1247982094e-02,1.6794644112e+00
9.2000000000e-01,8.8131939269e+00,4.1762215941e-02,1.6980654639e+00
9.3000000000e-01,8.8003465949e+00,4.2277951289e-02,1.7166699875e+00
9.4000000000e-01,8.7875005648e+00,4.2795194571e-02,1.7352779932e+00
9.5000000000e-01,8.7746558425e+00,4.3313952258e-02,1.7538894922e+00
9.6000000000e-01,8.7618124343e+00,4.3834230852e-02,1.7725044955e+00
9.7000000000e-01,8.7489703462e+00,4.4356036897e-02,1.7911230145e+00
9.8000000000e-01,8.7361295845e+00,4.4879376970e-02,1.8097450604e+00
9.9000000000e-01,8.7232901554e+00,4.5404257685e-02,1.8283706446e+00
1.0000000000e+00,8.7104520650e+00,4.5930685695e-02,1.8469997786e+00
1.0100000000e+00,8.6976153198e+00,4.6458667689e-02,1.8656324737e+00
1.0200000000e+00,8.6847799260e+00,4.6988210394e-02,1.8842687415e+00
1.0300000000e+00,8.6719458900e+00,4.7519320573e-02,1.9029085935e+00
1.0400000000e+00,8.6591132181e+00,4.8052005031e-02,1.9215520413e+00
1.0500000000e+00,8.6462819168e+00,4.8586270608e-02,1.9401990968e+00
1.0600000000e+00,8.6334519927e+00,4.9122124183e-02,1.9588497714e+00
1.0700000000e+00,8.6206234520e+00,4.9659572675e-02,1.9775040772e+00
1.0800000000e+00,8.6077963016e+00,5.0198623043e-02,1.9961620258e+00
1.0900000000e+00,8.5949705478e+00,5.0739282282e-02,2.0148236292e+00
1.1000000000e+00,8.5821461973e+00,5.1281557430e-02,2.0334888994e+00
1.1100000000e+00,8.5693232568e+00,5.1825455564e-02,2.0521578483e+00
1.1200000000e+00,8.5565017329e+00,5.2370983801e-02,2.0708304881e+00
1.1300000000e+00,8.5436816324e+00,5.2918149299e-02,2.0895068308e+00
1.1400000000e+00,8.5308629621e+00,5.3466959254e-02,2.1081868886e+00
1.1500000000e+00,8.5180457288e+00,5.4017420908e-02,2.1268706738e+00
1.1600000000e+00,8.5052299393e+00,5.4569541541e-02,2.1455581987e+00
1.1700000000e+00,8.4924156005e+00,5.5123328475e-02,2.1642494756e+00
1.1800000000e+00,8.4796027193e+00,5.5678789075e-02,2.1829445169e+00
1.1900000000e+00,8.4667913027e+00,5.6235930748e-02,2.2016433352e+00
1.2000000000e+00,8.4539813578e+00,5.6794760941e-02,2.2203459430e+00
1.2100000000e+00,8.4411728915e+00,5.7355287149e-02,2.2390523528e+00
1.2200000000e+00,8.4283659110e+00,5.7917516904e-02,2.2577625774e+00
1.2300000000e+00,8.4155604233e+00,5.8481457787e-02,2.2764766294e+00
1.2400000000e+00,8.4027564357e+00,5.9047117419e-02,2.2951945216e+00
1.2500000000e+00,8.3899539553e+00,5.9614503466e-02,2.3139162669e+00
1.2600000000e+00,8.3771529895e+00,6.0183623639e-02,2.3326418781e+00
1.2700000000e+00,8.3643535455e+00,6.0754485694e-02,2.3513713683e+00
1.2800000000e+00,8.3515556307e+00,6.1327097430e-02,2.3701047505e+00
1.2900000000e+00,8.3387592524e+00,6.1901466693e-02,2.3888420377e+00
1.3000000000e+00,8.3259644181e+00,6.2477601374e-02,2.4075832432e+00
1.3100000000e+00,8.3131711353e+00,6.3055509410e-02,2.4263283801e+00
1.3200000000e+00,8.3003794114e+00,6.3635198783e-02,2.4450774617e+00
1.3300000000e+00,8.2875892540e+00,6.4216677525e-02,2.4638305015e+00
1.3400000000e+00,8.2748006708e+00,6.4799953711e-02,2.4825875127e+00
1.3500000000e+00,8.2620136693e+00,6.5385035466e-02,2.5013485090e+00
1.3600000000e+00,8.2492282573e+00,6.5971930960e-02,2.5201135037e+00
1.3700000000e+00,8.2364444425e+00,6.6560648413e-02,2.5388825107e+00
1.3800000000e+00,8.2236622327e+00,6.7151196093e-02,2.5576555435e+00
1.3900000000e+00,8.2108816357e+00,6.7743582316e-02,2.5764326158e+00
1.4000000000e+00,8.1981026594e+00,6.8337815447e-02,2.5952137416e+00
1.4100000000e+00,8.1853253118e+00,6.8933903900e-02,2.6139989347e+00
1.4200000000e+00,8.1725496007e+00,6.9531856139e-02,2.6327882090e+00
1.4300000000e+00,8.1597755342e+00,7.0131680678e-02,2.6515815786e+00
1.4400000000e+00,8.1470031204e+00,7.0733386081e-02,2.6703790576e+00
1.4500000000e+00,8.1342323674e+00,7.1336980963e-02,2.6891806602e+00
1.4600000000e+00,8.1214632834e+00,7.1942473991e-02,2.7079864005e+00
1.4700000000e+00,8.1086958765e+00,7.2549873881e-02,2.7267962929e+00
1.4800000000e+00,8.0959301550e+00,7.3159189403e-02,2.7456103518e+00
1.4900000000e+00,8.0831661273e+00,7.3770429377e-02,2.7644285916e+00
1.5000000000e+00,8.0704038016e+00,7.4383602679e-02,2.7832510269e+00
1.5100000000e+00,8.0576431864e+00,7.4998718234e-02,2.8020776722e+00
1.5200000000e+00,8.0448842902e+00,7.5615785023e-02,2.8209085422e+00
1.5300000000e+00,8.0321271215e+00,7.6234812080e-02,2.8397436516e+00
1.5400000000e+00,8.0193716887e+00,7.6855808492e-02,2.8585830153e+00
1.5500000000e+00,8.0066180007e+00,7.7478783401e-02,2.8774266482e+00
1.5600000000e+00,7.9938660659e+00,7.8103746005e-02,2.8962745653e+00
1.5700000000e+00,7.9811158931e+00,7.8730705556e-02,2.9151267815e+00
1.5800000000e+00,7.9683674911e+00,7.9359671361e-02,2.9339833120e+00
1.5900000000e+00,7.9556208687e+00,7.9990652786e-02,2.9528441720e+00
1.6000000000e+00,7.9428760348e+00,8.0623659250e-02,2.9717093767e+00
1.6100000000e+00,7.9301329983e+00,8.1258700230e-02,2.9905789416e+00
1.6200000000e+00,7.9173917683e+00,8.1895785262e-02,3.0094528821e+00
1.6300000000e+00,7.9046523536e+00,8.2534923938e-02,3.0283312136e+00
1.6400000000e+00,7.8919147634e+00,8.3176125907e-02,3.0472139517e+00
1.6500000000e+00,7.8791790070e+00,8.3819400880e-02,3.0661011122e+00
1.6600000000e+00,7.8664450934e+00,8.4464758623e-02,3.0849927107e+00
1.6700000000e+00,7.8537130319e+00,8.5112208965e-02,3.1038887632e+00
1.6800000000e+00,7.8409828319e+00,8.5761761791e-02,3.1227892855e+00
1.6900000000e+00,7.8282545027e+00,8.6413427051e-02,3.1416942935e+00
1.7000000000e+00,7.8155280537e+00,8.7067214751e-02,3.1606038035e+00
1.7100000000e+00,7.8028034945e+00,8.7723134962e-02,3.1795178314e+00
1.7200000000e+00,7.7900808346e+00,8.8381197813e-02,3.1984363937e+00
1.7300000000e+00,7.7773600836e+00,8.9041413499e-02,3.2173595066e+00
1.7400000000e+00,7.7646412511e+00,8.9703792274e-02,3.2362871865e+00
1.7500000000e+00,7.7519243468e+00,9.0368344456e-02,3.2552194499e+00
1.7600000000e+00,7.7392093807e+00,9.1035080429e-02,3.2741563134e+00
1.7700000000e+00,7.7264963624e+00,9.1704010637e-02,3.2930977936e+00
1.7800000000e+00,7.7137853019e+00,9.2375145591e-02,3.3120439074e+00
1.7900000000e+00,7.7010762092e+00,9.3048495866e-02,3.3309946716e+00
1.8000000000e+00,7.6883690943e+00,9.3724072102e-02,3.3499501031e+00
1.8100000000e+00,7.6756639672e+00,9.4401885006e-02,3.3689102189e+00
1.8200000000e+00,7.6629608382e+00,9.5081945350e-02,3.3878750361e+00
1.8300000000e+00,7.6502597174e+00,9.5764263973e-02,3.4068445719e+00
1.8400000000e+00,7.6375606151e+00,9.6448851782e-02,3.4258188437e+00
1.8500000000e+00,7.6248635417e+00,9.7135719752e-02,3.4447978687e+00
1.8600000000e+00,7.6121685075e+00,9.7824878926e-02,3.4637816646e+00
1.8700000000e+00,7.5994755231e+00,9.8516340414e-02,3.4827702488e+00
1.8800000000e+00,7.5867845989e+00,9.9210115399e-02,3.5017636389e+00
1.8900000000e+00,7.5740957456e+00,9.9906215131e-02,3.5207618529e+00
1.9000000000e+00,7.5614089738e+00,1.0060465093e-01,3.5397649084e+00
1.9100000000e+00,7.5487242942e+00,1.0130543419e-01,3.5587728235e+00
1.9200000000e+00,7.5360417177e+00,1.0200857638e-01,3.5777856161e+00
1.9300000000e+00,7.5233612552e+00,1.0271408902e-01,3.5968033045e+00
