tau,r,phi,t,E
0.000000000000000e+00,2.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-4.200000000000000e-02
2.000000000000000e-02,2.002092885120869e+00,8.990584787321634e-03,3.826313786819796e-02,-4.195056698983512e-02
3.999999999999998e-02,2.004176374347140e+00,1.796243475745099e-02,7.648647121712027e-02,-4.190189530043286e-02
5.999999999999986e-02,2.006250570579873e+00,2.691569185410177e-02,1.146703424355078e-01,-4.185397092610545e-02
7.999999999999974e-02,2.008315575427340e+00,3.585049609042843e-02,1.528150887648728e-01,-4.180678017889502e-02
9.999999999999962e-02,2.010371489227700e+00,4.476698558274638e-02,1.909210424003387e-01,-4.176030968006558e-02
1.199999999999995e-01,2.012418411071166e+00,5.366529658350708e-02,2.289885305889872e-01,-4.171454635185980e-02
1.399999999999999e-01,2.014456438821696e+00,6.254556351354791e-02,2.670178757257875e-01,-4.166947740951015e-02
1.600000000000005e-01,2.016485669138194e+00,7.140791899363595e-02,3.050093954471799e-01,-4.162509035349651e-02
1.800000000000010e-01,2.018506197495259e+00,8.025249387532474e-02,3.429634027223823e-01,-4.158137296204047e-02
2.000000000000016e-01,2.020518118203489e+00,8.907941727114196e-02,3.808802059424860e-01,-4.153831328382861e-02
2.200000000000022e-01,2.022521524429329e+00,9.788881658412509e-02,4.187601090074068e-01,-4.149589963095745e-02
2.400000000000028e-01,2.024516508214511e+00,1.066808175367231e-01,4.566034114107528e-01,-4.145412057209102e-02
2.600000000000033e-01,2.026503160495069e+00,1.154555441990798e-01,4.944104083226682e-01,-4.141296492582463e-02
2.800000000000039e-01,2.028481571119937e+00,1.242131190167149e-01,5.321813906707131e-01,-4.137242175424845e-02
3.000000000000045e-01,2.030451828869183e+00,1.329536628376193e-01,5.699166452188336e-01,-4.133248035670156e-02
3.200000000000051e-01,2.032414021471825e+00,1.416772949387779e-01,6.076164546444788e-01,-4.129313026371347e-02
3.400000000000056e-01,2.034368235623289e+00,1.503841330521365e-01,6.452810976139168e-01,-4.125436123112374e-02
3.600000000000062e-01,2.036314557002505e+00,1.590742933900254e-01,6.829108488557968e-01,-4.121616323437537e-02
3.800000000000068e-01,2.038253070288636e+00,1.677478906700535e-01,7.205059792330107e-01,-4.117852646297575e-02
4.000000000000073e-01,2.040183859177459e+00,1.764050381394887e-01,7.580667558129034e-01,-4.114144131511945e-02
4.200000000000079e-01,2.042107006397419e+00,1.850458475991328e-01,7.955934419358698e-01,-4.110489839246736e-02
4.400000000000085e-01,2.044022593725338e+00,1.936704294267091e-01,8.330862972823908e-01,-4.106888849507739e-02
4.600000000000091e-01,2.045930702001817e+00,2.022788925997694e-01,8.705455779385486e-01,-4.103340261648133e-02
4.800000000000096e-01,2.047831411146307e+00,2.108713447181371e-01,9.079715364600621e-01,-4.099843193890331e-02
5.000000000000102e-01,2.049724800171890e+00,2.194478920258941e-01,9.453644219348838e-01,-4.096396782861513e-02
5.200000000000080e-01,2.051610947199745e+00,2.280086394329255e-01,9.827244800443973e-01,-4.093000183142411e-02
5.400000000000058e-01,2.053489929473338e+00,2.365536905360305e-01,1.020051953123251e+00,-4.089652566828888e-02
5.600000000000036e-01,2.055361823372305e+00,2.450831476396119e-01,1.057347080217870e+00,-4.086353123105942e-02
5.800000000000014e-01,2.057226704426085e+00,2.535971117759542e-01,1.094610097143675e+00,-4.083101057833676e-02
5.999999999999992e-01,2.059084647327263e+00,2.620956827250981e-01,1.131841236541048e+00,-4.079895593144924e-02
6.199999999999970e-01,2.060935725944648e+00,2.705789590343254e-01,1.169040727930074e+00,-4.076735967054084e-02
6.399999999999948e-01,2.062780013336102e+00,2.790470380372582e-01,1.206208797764093e+00,-4.073621433076851e-02
6.599999999999926e-01,2.064617581761107e+00,2.875000158725867e-01,1.243345669482095e+00,-4.070551259860527e-02
6.799999999999904e-01,2.066448502693095e+00,2.959379875024309e-01,1.280451563559985e+00,-4.067524730824456e-02
6.999999999999882e-01,2.068272846831529e+00,3.043610467303460e-01,1.317526697560751e+00,-4.064541143810434e-02
7.199999999999860e-01,2.070090684113752e+00,3.127692862189815e-01,1.354571286183558e+00,-4.061599810742652e-02
7.399999999999838e-01,2.071902083726611e+00,3.211627975073986e-01,1.391585541311804e+00,-4.058700057296918e-02
7.599999999999816e-01,2.073707114117839e+00,3.295416710280570e-01,1.428569672060153e+00,-4.055841222578915e-02
7.799999999999794e-01,2.075505843007253e+00,3.379059961234776e-01,1.465523884820587e+00,-4.053022658811086e-02
7.999999999999772e-01,2.077298337397692e+00,3.462558610625889e-01,1.502448383307488e+00,-4.050243731028074e-02
8.199999999999750e-01,2.079084663585791e+00,3.545913530567635e-01,1.539343368601777e+00,-4.047503816780237e-02
8.399999999999728e-01,2.080864887172515e+00,3.629125582755529e-01,1.576209039194144e+00,-4.044802305845196e-02
8.599999999999706e-01,2.082639073073513e+00,3.712195618621281e-01,1.613045591027376e+00,-4.042138599946995e-02
