tau,r,phi,t
0.0000000000e+00,7.3231718999e+01,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,7.3231557102e+01,1.1188026165e-03,2.0154858376e+00
4.0000000000e+00,7.3231112057e+01,2.2376145057e-03,4.0309717909e+00
6.0000000000e+00,7.3230383863e+01,3.3564443195e-03,6.0464579676e+00
8.0000000000e+00,7.3229372513e+01,4.4753007109e-03,8.0619444758e+00
1.0000000000e+01,7.3228078002e+01,5.5941923336e-03,1.0077431423e+01
1.2000000000e+01,7.3226500322e+01,6.7131278430e-03,1.2092918918e+01
1.4000000000e+01,7.3224639461e+01,7.8321158962e-03,1.4108407068e+01
1.6000000000e+01,7.3222495407e+01,8.9511651526e-03,1.6123895981e+01
1.8000000000e+01,7.3220068148e+01,1.0070284274e-02,1.8139385765e+01
2.0000000000e+01,7.3217357666e+01,1.1189481925e-02,2.0154876529e+01
2.2000000000e+01,7.3214363944e+01,1.2308766774e-02,2.2170368379e+01
2.4000000000e+01,7.3211086963e+01,1.3428147492e-02,2.4185861425e+01
2.6000000000e+01,7.3207526701e+01,1.4547632755e-02,2.6201355774e+01
2.8000000000e+01,7.3203683135e+01,1.5667231243e-02,2.8216851534e+01
3.0000000000e+01,7.3199556239e+01,1.6786951640e-02,3.0232348814e+01
3.2000000000e+01,7.3195145987e+01,1.7906802636e-02,3.2247847722e+01
3.4000000000e+01,7.3190452350e+01,1.9026792926e-02,3.4263348366e+01
3.6000000000e+01,7.3185475297e+01,2.0146931211e-02,3.6278850855e+01
3.8000000000e+01,7.3180214796e+01,2.1267226197e-02,3.8294355297e+01
4.0000000000e+01,7.3174670812e+01,2.2387686599e-02,4.0309861799e+01
4.2000000000e+01,7.3168843309e+01,2.3508321136e-02,4.2325370472e+01
4.4000000000e+01,7.3162732248e+01,2.4629138537e-02,4.4340881423e+01
4.6000000000e+01,7.3156337591e+01,2.5750147535e-02,4.6356394761e+01
4.8000000000e+01,7.3149659294e+01,2.6871356874e-02,4.8371910595e+01
5.0000000000e+01,7.3142697314e+01,2.7992775306e-02,5.0387429034e+01
5.2000000000e+01,7.3135451606e+01,2.9114411591e-02,5.2402950186e+01
5.4000000000e+01,7.3127922122e+01,3.0236274497e-02,5.4418474160e+01
5.6000000000e+01,7.3120108812e+01,3.1358372804e-02,5.6434001066e+01
5.8000000000e+01,7.3112011626e+01,3.2480715299e-02,5.8449531012e+01
6.0000000000e+01,7.3103630511e+01,3.3603310782e-02,6.0465064108e+01
6.2000000000e+01,7.3094965411e+01,3.4726168060e-02,6.2480600463e+01
6.4000000000e+01,7.3086016269e+01,3.5849295955e-02,6.4496140186e+01
6.6000000000e+01,7.3076783027e+01,3.6972703298e-02,6.6511683388e+01
6.8000000000e+01,7.3067265624e+01,3.8096398931e-02,6.8527230177e+01
7.0000000000e+01,7.3057463998e+01,3.9220391709e-02,7.0542780663e+01
7.2000000000e+01,7.3047378084e+01,4.0344690500e-02,7.2558334957e+01
7.4000000000e+01,7.3037007817e+01,4.1469304184e-02,7.4573893168e+01
7.6000000000e+01,7.3026353127e+01,4.2594241654e-02,7.6589455406e+01
7.8000000000e+01,7.3015413944e+01,4.3719511818e-02,7.8605021781e+01
8.0000000000e+01,7.3004190198e+01,4.4845123596e-02,8.0620592404e+01
8.2000000000e+01,7.2992681813e+01,4.5971085923e-02,8.2636167385e+01
8.4000000000e+01,7.2980888715e+01,4.7097407749e-02,8.4651746835e+01
8.6000000000e+01,7.2968810825e+01,4.8224098039e-02,8.6667330864e+01
8.8000000000e+01,7.2956448064e+01,4.9351165774e-02,8.8682919584e+01
9.0000000000e+01,7.2943800350e+01,5.0478619950e-02,9.0698513105e+01
9.2000000000e+01,7.2930867600e+01,5.1606469580e-02,9.2714111539e+01
9.4000000000e+01,7.2917649729e+01,5.2734723692e-02,9.4729714996e+01
9.6000000000e+01,7.2904146650e+01,5.3863391334e-02,9.6745323589e+01
9.8000000000e+01,7.2890358272e+01,5.4992481569e-02,9.8760937428e+01
1.0000000000e+02,7.2876284506e+01,5.6122003478e-02,1.0077655663e+02
1.0200000000e+02,7.2861925258e+01,5.7251966162e-02,1.0279218129e+02
1.0400000000e+02,7.2847280433e+01,5.8382378739e-02,1.0480781155e+02
1.0600000000e+02,7.2832349934e+01,5.9513250347e-02,1.0682344749e+02
1.0800000000e+02,7.2817133663e+01,6.0644590143e-02,1.0883908925e+02
1.1000000000e+02,7.2801631519e+01,6.1776407304e-02,1.1085473692e+02
1.1200000000e+02,7.2785843399e+01,6.2908711026e-02,1.1287039063e+02
1.1400000000e+02,7.2769769198e+01,6.4041510529e-02,1.1488605048e+02
1.1600000000e+02,7.2753408809e+01,6.5174815050e-02,1.1690171659e+02
1.1800000000e+02,7.2736762125e+01,6.6308633851e-02,1.1891738907e+02
1.2000000000e+02,7.2719829035e+01,6.7442976214e-02,1.2093306804e+02
1.2200000000e+02,7.2702609425e+01,6.8577851444e-02,1.2294875361e+02
1.2400000000e+02,7.2685103182e+01,6.9713268869e-02,1.2496444589e+02
1.2600000000e+02,7.2667310190e+01,7.0849237840e-02,1.2698014500e+02
1.2800000000e+02,7.2649230329e+01,7.1985767730e-02,1.2899585106e+02
1.3000000000e+02,7.2630863479e+01,7.3122867939e-02,1.3101156417e+02
1.3200000000e+02,7.2612209519e+01,7.4260547890e-02,1.3302728445e+02
1.3400000000e+02,7.2593268322e+01,7.5398817031e-02,1.3504301202e+02
1.3600000000e+02,7.2574039765e+01,7.6537684835e-02,1.3705874699e+02
1.3800000000e+02,7.2554523717e+01,7.7677160802e-02,1.3907448948e+02
1.4000000000e+02,7.2534720048e+01,7.8817254457e-02,1.4109023960e+02
1.4200000000e+02,7.2514628627e+01,7.9957975352e-02,1.4310599747e+02
1.4400000000e+02,7.2494249318e+01,8.1099333067e-02,1.4512176320e+02
