tau,r,phi,t
0.0000000000e+00,5.1308900952e+01,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,5.1308807569e+01,7.5970526212e-04,1.0106566355e+00
2.0000000000e+00,5.1308553007e+01,1.5194156761e-03,2.0213133392e+00
3.0000000000e+00,5.1308137264e+01,2.2791360152e-03,3.0319701740e+00
4.0000000000e+00,5.1307560338e+01,3.0388710529e-03,4.0426272032e+00
5.0000000000e+00,5.1306822225e+01,3.7986255632e-03,5.0532844899e+00
6.0000000000e+00,5.1305922921e+01,4.5584043210e-03,6.0639420971e+00
7.0000000000e+00,5.1304862421e+01,5.3182121016e-03,7.0746000880e+00
8.0000000000e+00,5.1303640719e+01,6.0780536817e-03,8.0852585258e+00
9.0000000000e+00,5.1302257808e+01,6.8379338388e-03,9.0959174736e+00
1.0000000000e+01,5.1300713680e+01,7.5978573521e-03,1.0106576995e+01
1.1000000000e+01,5.1299008326e+01,8.3578290018e-03,1.1117237152e+01
1.2000000000e+01,5.1297141737e+01,9.1178535701e-03,1.2127898009e+01
1.3000000000e+01,5.1295113901e+01,9.8779358410e-03,1.3138559628e+01
1.4000000000e+01,5.1292924807e+01,1.0638080600e-02,1.4149222074e+01
1.5000000000e+01,5.1290574442e+01,1.1398292636e-02,1.5159885409e+01
1.6000000000e+01,5.1288062793e+01,1.2158576738e-02,1.6170549696e+01
1.7000000000e+01,5.1285389845e+01,1.2918937700e-02,1.7181214999e+01
1.8000000000e+01,5.1282555584e+01,1.3679380316e-02,1.8191881381e+01
1.9000000000e+01,5.1279559992e+01,1.4439909385e-02,1.9202548906e+01
2.0000000000e+01,5.1276403053e+01,1.5200529709e-02,2.0213217637e+01
2.1000000000e+01,5.1273084749e+01,1.5961246090e-02,2.1223887636e+01
2.2000000000e+01,5.1269605059e+01,1.6722063337e-02,2.2234558969e+01
2.3000000000e+01,5.1265963965e+01,1.7482986261e-02,2.3245231698e+01
2.4000000000e+01,5.1262161446e+01,1.8244019675e-02,2.4255905886e+01
2.5000000000e+01,5.1258197479e+01,1.9005168399e-02,2.5266581598e+01
2.6000000000e+01,5.1254072041e+01,1.9766437255e-02,2.6277258896e+01
2.7000000000e+01,5.1249785110e+01,2.0527831069e-02,2.7287937845e+01
2.8000000000e+01,5.1245336660e+01,2.1289354671e-02,2.8298618509e+01
2.9000000000e+01,5.1240726665e+01,2.2051012897e-02,2.9309300949e+01
3.0000000000e+01,5.1235955100e+01,2.2812810586e-02,3.0319985232e+01
3.1000000000e+01,5.1231021936e+01,2.3574752583e-02,3.1330671420e+01
3.2000000000e+01,5.1225927145e+01,2.4336843737e-02,3.2341359577e+01
3.3000000000e+01,5.1220670699e+01,2.5099088903e-02,3.3352049767e+01
3.4000000000e+01,5.1215252565e+01,2.5861492940e-02,3.4362742054e+01
3.5000000000e+01,5.1209672714e+01,2.6624060714e-02,3.5373436503e+01
3.6000000000e+01,5.1203931113e+01,2.7386797096e-02,3.6384133176e+01
3.7000000000e+01,5.1198027730e+01,2.8149706962e-02,3.7394832139e+01
3.8000000000e+01,5.1191962528e+01,2.8912795194e-02,3.8405533455e+01
3.9000000000e+01,5.1185735475e+01,2.9676066682e-02,3.9416237189e+01
4.0000000000e+01,5.1179346534e+01,3.0439526320e-02,4.0426943404e+01
4.1000000000e+01,5.1172795668e+01,3.1203179011e-02,4.1437652166e+01
4.2000000000e+01,5.1166082838e+01,3.1967029662e-02,4.2448363539e+01
4.3000000000e+01,5.1159208008e+01,3.2731083188e-02,4.3459077586e+01
4.4000000000e+01,5.1152171135e+01,3.3495344511e-02,4.4469794374e+01
4.5000000000e+01,5.1144972181e+01,3.4259818560e-02,4.5480513966e+01
4.6000000000e+01,5.1137611102e+01,3.5024510273e-02,4.6491236426e+01
4.7000000000e+01,5.1130087857e+01,3.5789424592e-02,4.7501961821e+01
4.8000000000e+01,5.1122402402e+01,3.6554566470e-02,4.8512690214e+01
4.9000000000e+01,5.1114554693e+01,3.7319940866e-02,4.9523421671e+01
5.0000000000e+01,5.1106544683e+01,3.8085552748e-02,5.0534156256e+01
5.1000000000e+01,5.1098372327e+01,3.8851407092e-02,5.1544894035e+01
