tau,r,phi,t,E
0.000000000000000e+00,5.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-03,4.999552776403903e+00,0.000000000000000e+00,1.250013976674991e-03,-8.945272029284301e-06
2.000000000000000e-03,4.999105532804228e+00,0.000000000000000e+00,2.500055911701544e-03,-1.789254477431446e-05
3.000000000000000e-03,4.998658269197396e+00,0.000000000000000e+00,3.750125812584398e-03,-2.684181895115656e-05
4.000000000000000e-03,4.998210985579825e+00,0.000000000000000e+00,5.000223686831456e-03,-3.579309527622365e-05
5.000000000000000e-03,4.997763681947935e+00,0.000000000000000e+00,6.250349541953784e-03,-4.474637446631735e-05
6.000000000000000e-03,4.997316358298141e+00,0.000000000000000e+00,7.500503385465612e-03,-5.370165723855846e-05
7.000000000000000e-03,4.996869014626862e+00,0.000000000000000e+00,8.750685224884340e-03,-6.265894431040087e-05
8.000000000000000e-03,4.996421650930510e+00,0.000000000000000e+00,1.000089506773054e-02,-7.161823639971476e-05
9.000000000000001e-03,4.995974267205502e+00,0.000000000000000e+00,1.125113292152794e-02,-8.057953422467568e-05
1.000000000000000e-02,4.995526863448248e+00,0.000000000000000e+00,1.250139879380346e-02,-8.954283850381994e-05
1.100000000000000e-02,4.995079439655161e+00,0.000000000000000e+00,1.375169269208720e-02,-9.850814995605861e-05
1.200000000000000e-02,4.994631995822651e+00,0.000000000000000e+00,1.500201462391240e-02,-1.074754693006219e-04
1.300000000000000e-02,4.994184531947128e+00,0.000000000000000e+00,1.625236459681552e-02,-1.164447972571286e-04
1.400000000000001e-02,4.993737048024999e+00,0.000000000000000e+00,1.750274261833617e-02,-1.254161345455307e-04
1.500000000000001e-02,4.993289544052673e+00,0.000000000000000e+00,1.875314869601716e-02,-1.343894818861407e-04
1.600000000000001e-02,4.992842020026555e+00,0.000000000000000e+00,2.000358283740449e-02,-1.433648399996323e-04
1.700000000000001e-02,4.992394475943049e+00,0.000000000000000e+00,2.125404505004731e-02,-1.523422096070259e-04
1.800000000000001e-02,4.991946911798561e+00,0.000000000000000e+00,2.250453534149800e-02,-1.613215914297167e-04
1.900000000000001e-02,4.991499327589491e+00,0.000000000000000e+00,2.375505371931211e-02,-1.703029861894190e-04
2.000000000000001e-02,4.991051723312242e+00,0.000000000000000e+00,2.500560019104837e-02,-1.792863946082357e-04
2.100000000000001e-02,4.990604098963214e+00,0.000000000000000e+00,2.625617476426873e-02,-1.882718174086029e-04
2.200000000000001e-02,4.990156454538806e+00,0.000000000000000e+00,2.750677744653831e-02,-1.972592553133451e-04
2.300000000000001e-02,4.989708790035417e+00,0.000000000000000e+00,2.875740824542544e-02,-2.062487090456061e-04
2.400000000000001e-02,4.989261105449443e+00,0.000000000000000e+00,3.000806716850164e-02,-2.152401793289183e-04
2.500000000000002e-02,4.988813400777280e+00,0.000000000000000e+00,3.125875422334165e-02,-2.242336668871470e-04
2.600000000000002e-02,4.988365676015324e+00,0.000000000000000e+00,3.250946941752338e-02,-2.332291724445185e-04
2.700000000000002e-02,4.987917931159966e+00,0.000000000000000e+00,3.376021275862798e-02,-2.422266967256337e-04
2.800000000000002e-02,4.987470166207601e+00,0.000000000000000e+00,3.501098425423977e-02,-2.512262404554405e-04
