tau,r,phi,t,E
0.000000000000000e+00,5.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.000000000000000e-03,4.999105532804229e+00,0.000000000000000e+00,2.500055911701544e-03,-1.789254477428670e-05
4.000000000000000e-03,4.998210985579826e+00,0.000000000000000e+00,5.000223686831456e-03,-3.579309527620977e-05
6.000000000000000e-03,4.997316358298142e+00,0.000000000000000e+00,7.500503385465611e-03,-5.370165723853071e-05
8.000000000000000e-03,4.996421650930511e+00,0.000000000000000e+00,1.000089506773054e-02,-7.161823639970089e-05
1.000000000000000e-02,4.995526863448248e+00,0.000000000000000e+00,1.250139879380346e-02,-8.954283850381994e-05
1.200000000000000e-02,4.994631995822651e+00,0.000000000000000e+00,1.500201462391240e-02,-1.074754693006219e-04
1.400000000000000e-02,4.993737048024999e+00,0.000000000000000e+00,1.750274261833617e-02,-1.254161345455307e-04
1.600000000000000e-02,4.992842020026555e+00,0.000000000000000e+00,2.000358283740449e-02,-1.433648399996323e-04
1.800000000000000e-02,4.991946911798561e+00,0.000000000000000e+00,2.250453534149800e-02,-1.613215914297167e-04
2.000000000000000e-02,4.991051723312242e+00,0.000000000000000e+00,2.500560019104837e-02,-1.792863946082357e-04
2.200000000000001e-02,4.990156454538806e+00,0.000000000000000e+00,2.750677744653831e-02,-1.972592553133451e-04
2.400000000000001e-02,4.989261105449443e+00,0.000000000000000e+00,3.000806716850164e-02,-2.152401793289183e-04
2.600000000000001e-02,4.988365676015324e+00,0.000000000000000e+00,3.250946941752338e-02,-2.332291724445185e-04
2.800000000000001e-02,4.987470166207601e+00,0.000000000000000e+00,3.501098425423976e-02,-2.512262404554405e-04
3.000000000000001e-02,4.986574575997409e+00,0.000000000000000e+00,3.751261173933833e-02,-2.692313891626968e-04
3.200000000000001e-02,4.985678905355866e+00,0.000000000000000e+00,4.001435193355798e-02,-2.872446243730176e-04
3.400000000000002e-02,4.984783154254070e+00,0.000000000000000e+00,4.251620489768900e-02,-3.052659518989059e-04
3.600000000000002e-02,4.983887322663102e+00,0.000000000000000e+00,4.501817069257318e-02,-3.232953775585967e-04
3.800000000000002e-02,4.982991410554023e+00,0.000000000000000e+00,4.752024937910380e-02,-3.413329071760562e-04
4.000000000000002e-02,4.982095417897878e+00,0.000000000000000e+00,5.002244101822578e-02,-3.593785465810378e-04
4.200000000000002e-02,4.981199344665693e+00,0.000000000000000e+00,5.252474567093565e-02,-3.774323016090680e-04
4.400000000000003e-02,4.980303190828474e+00,0.000000000000000e+00,5.502716339828166e-02,-3.954941781014326e-04
4.600000000000003e-02,4.979406956357212e+00,0.000000000000000e+00,5.752969426136384e-02,-4.135641819051766e-04
4.800000000000003e-02,4.978510641222877e+00,0.000000000000000e+00,6.003233832133403e-02,-4.316423188731877e-04
5.000000000000003e-02,4.977614245396423e+00,0.000000000000000e+00,6.253509563939598e-02,-4.497285948641128e-04
5.200000000000003e-02,4.976717768848784e+00,0.000000000000000e+00,6.503796627680536e-02,-4.678230157424135e-04
5.400000000000003e-02,4.975821211550875e+00,0.000000000000000e+00,6.754095029486987e-02,-4.859255873783525e-04
5.600000000000004e-02,4.974924573473595e+00,0.000000000000000e+00,7.004404775494927e-02,-5.040363156480349e-04
5.800000000000004e-02,4.974027854587823e+00,0.000000000000000e+00,7.254725871845544e-02,-5.221552064333945e-04
6.000000000000004e-02,4.973131054864420e+00,0.000000000000000e+00,7.505058324685246e-02,-5.402822656221523e-04
6.200000000000004e-02,4.972234174274228e+00,0.000000000000000e+00,7.755402140165667e-02,-5.584174991079410e-04
6.400000000000004e-02,4.971337212788073e+00,0.000000000000000e+00,8.005757324443667e-02,-5.765609127901666e-04
6.600000000000004e-02,4.970440170376759e+00,0.000000000000000e+00,8.256123883681349e-02,-5.947125125741332e-04
6.800000000000005e-02,4.969543047011074e+00,0.000000000000000e+00,8.506501824046055e-02,-6.128723043710149e-04
7.000000000000005e-02,4.968645842661787e+00,0.000000000000000e+00,8.756891151710378e-02,-6.310402940978427e-04
7.200000000000005e-02,4.967748557299648e+00,0.000000000000000e+00,9.007291872852163e-02,-6.492164876775314e-04
7.400000000000005e-02,4.966851190895389e+00,0.000000000000000e+00,9.257703993654522e-02,-6.674008910388801e-04
7.600000000000005e-02,4.965953743419725e+00,0.000000000000000e+00,9.508127520305827e-02,-6.855935101165583e-04
7.800000000000006e-02,4.965056214843348e+00,0.000000000000000e+00,9.758562458999730e-02,-7.037943508511613e-04
8.000000000000006e-02,4.964158605136936e+00,0.000000000000000e+00,1.000900881593516e-01,-7.220034191892100e-04
8.200000000000006e-02,4.963260914271148e+00,0.000000000000000e+00,1.025946659731633e-01,-7.402207210830819e-04
8.400000000000006e-02,4.962363142216621e+00,0.000000000000000e+00,1.050993580935274e-01,-7.584462624911359e-04
