tau,r,phi,t
0.0000000000e+00,5.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e-03,4.9995527764e+00,0.0000000000e+00,1.2500139767e-03
2.0000000000e-03,4.9991055328e+00,0.0000000000e+00,2.5000559117e-03
3.0000000000e-03,4.9986582692e+00,0.0000000000e+00,3.7501258126e-03
4.0000000000e-03,4.9982109856e+00,0.0000000000e+00,5.0002236868e-03
5.0000000000e-03,4.9977636819e+00,0.0000000000e+00,6.2503495420e-03
6.0000000000e-03,4.9973163583e+00,0.0000000000e+00,7.5005033855e-03
7.0000000000e-03,4.9968690146e+00,0.0000000000e+00,8.7506852249e-03
8.0000000000e-03,4.9964216509e+00,0.0000000000e+00,1.0000895068e-02
9.0000000000e-03,4.9959742672e+00,0.0000000000e+00,1.1251132922e-02
1.0000000000e-02,4.9955268634e+00,0.0000000000e+00,1.2501398794e-02
1.1000000000e-02,4.9950794397e+00,0.0000000000e+00,1.3751692692e-02
1.2000000000e-02,4.9946319958e+00,0.0000000000e+00,1.5002014624e-02
1.3000000000e-02,4.9941845319e+00,0.0000000000e+00,1.6252364597e-02
1.4000000000e-02,4.9937370480e+00,0.0000000000e+00,1.7502742618e-02
1.5000000000e-02,4.9932895441e+00,0.0000000000e+00,1.8753148696e-02
1.6000000000e-02,4.9928420200e+00,0.0000000000e+00,2.0003582837e-02
1.7000000000e-02,4.9923944759e+00,0.0000000000e+00,2.1254045050e-02
1.8000000000e-02,4.9919469118e+00,0.0000000000e+00,2.2504535341e-02
1.9000000000e-02,4.9914993276e+00,0.0000000000e+00,2.3755053719e-02
2.0000000000e-02,4.9910517233e+00,0.0000000000e+00,2.5005600191e-02
2.1000000000e-02,4.9906040990e+00,0.0000000000e+00,2.6256174764e-02
2.2000000000e-02,4.9901564545e+00,0.0000000000e+00,2.7506777447e-02
2.3000000000e-02,4.9897087900e+00,0.0000000000e+00,2.8757408245e-02
2.4000000000e-02,4.9892611054e+00,0.0000000000e+00,3.0008067169e-02
2.5000000000e-02,4.9888134008e+00,0.0000000000e+00,3.1258754223e-02
2.6000000000e-02,4.9883656760e+00,0.0000000000e+00,3.2509469418e-02
2.7000000000e-02,4.9879179312e+00,0.0000000000e+00,3.3760212759e-02
2.8000000000e-02,4.9874701662e+00,0.0000000000e+00,3.5010984254e-02
2.9000000000e-02,4.9870223812e+00,0.0000000000e+00,3.6261783912e-02
3.0000000000e-02,4.9865745760e+00,0.0000000000e+00,3.7512611739e-02
3.1000000000e-02,4.9861267507e+00,0.0000000000e+00,3.8763467744e-02
3.2000000000e-02,4.9856789054e+00,0.0000000000e+00,4.0014351934e-02
3.3000000000e-02,4.9852310399e+00,0.0000000000e+00,4.1265264316e-02
3.4000000000e-02,4.9847831543e+00,0.0000000000e+00,4.2516204898e-02
