tau,r,phi,t
2.0000000000e-02,9.8911963202e+00,2.0220006559e-03,1.2380349641e-01
4.0000000000e-02,9.7824091532e+00,4.0889768458e-03,2.4776025442e-01
6.0000000000e-02,9.6736390316e+00,6.2024387469e-03,3.7187407050e-01
8.0000000000e-02,9.5648865110e+00,8.3639645837e-03,4.9614888310e-01
1.0000000000e-01,9.4561521705e+00,1.0575204485e-02,6.2058877986e-01
1.2000000000e-01,9.3474366150e+00,1.2837884607e-02,7.4519800513e-01
1.4000000000e-01,9.2387404757e+00,1.5153811537e-02,8.6998096808e-01
1.6000000000e-01,9.1300644118e+00,1.7524877016e-02,9.9494225130e-01
1.8000000000e-01,9.0214091125e+00,1.9953062981e-02,1.1200866199e+00
2.0000000000e-01,8.9127752979e+00,2.2440446981e-02,1.2454190315e+00
2.2000000000e-01,8.8041637216e+00,2.4989207980e-02,1.3709446462e+00
2.4000000000e-01,8.6955751717e+00,2.7601632586e-02,1.4966688384e+00
2.6000000000e-01,8.5870104737e+00,3.0280121742e-02,1.6225972081e+00
2.8000000000e-01,8.4784704920e+00,3.3027197925e-02,1.7487355939e+00
3.0000000000e-01,8.3699561326e+00,3.5845512878e-02,1.8750900868e+00
3.2000000000e-01,8.2614683453e+00,3.8737855958e-02,2.0016670447e+00
3.4000000000e-01,8.1530081267e+00,4.1707163115e-02,2.1284731082e+00
3.6000000000e-01,8.0445765225e+00,4.4756526588e-02,2.2555152173e+00
3.8000000000e-01,7.9361746313e+00,4.7889205381e-02,2.3828006299e+00
4.0000000000e-01,7.8278036072e+00,5.1108636576e-02,2.5103369411e+00
4.2000000000e-01,7.7194646636e+00,5.4418447581e-02,2.6381321045e+00
4.4000000000e-01,7.6111590769e+00,5.7822469394e-02,2.7661944547e+00
4.6000000000e-01,7.5028881909e+00,6.1324750983e-02,2.8945327320e+00
4.8000000000e-01,7.3946534206e+00,6.4929574895e-02,3.0231561092e+00
5.0000000000e-01,7.2864562574e+00,6.8641474216e-02,3.1520742200e+00
5.2000000000e-01,7.1782982739e+00,7.2465251014e-02,3.2812971903e+00
5.4000000000e-01,7.0701811298e+00,7.6405996430e-02,3.4108356723e+00
5.6000000000e-01,6.9621065772e+00,8.0469112577e-02,3.5407008808e+00
5.8000000000e-01,6.8540764676e+00,8.4660336446e-02,3.6709046339e+00
6.0000000000e-01,6.7460927586e+00,8.8985766033e-02,3.8014593962e+00
6.2000000000e-01,6.6381575215e+00,9.3451888927e-02,3.9323783266e+00
6.4000000000e-01,6.5302729492e+00,9.8065613632e-02,4.0636753303e+00
6.6000000000e-01,6.4224413654e+00,1.0283430394e-01,4.1953651162e+00
6.8000000000e-01,6.3146652340e+00,1.0776581670e-01,4.3274632590e+00
7.0000000000e-01,6.2069471694e+00,1.1286854332e-01,4.4599862682e+00
7.2000000000e-01,6.0992899483e+00,1.1815145561e-01,4.5929516637e+00
7.4000000000e-01,5.9916965213e+00,1.2362415622e-01,4.7263780592e+00
7.6000000000e-01,5.8841700270e+00,1.2929693450e-01,4.8602852544e+00
7.8000000000e-01,5.7767138064e+00,1.3518082829e-01,4.9946943368e+00
8.0000000000e-01,5.6693314185e+00,1.4128769238e-01,5.1296277947e+00
8.2000000000e-01,5.5620266583e+00,1.4763027467e-01,5.2651096432e+00
8.4000000000e-01,5.4548035755e+00,1.5422230070e-01,5.4011655638e+00
8.6000000000e-01,5.3476664951e+00,1.6107856811e-01,5.5378230610e+00
8.8000000000e-01,5.2406200406e+00,1.6821505183e-01,5.6751116365e+00
9.0000000000e-01,5.1336691585e+00,1.7564902202e-01,5.8130629864e+00
9.2000000000e-01,5.0268191454e+00,1.8339917606e-01,5.9517112206e+00
