tau,r,phi,t
2.0000000000e-02,2.4032515272e+01,1.0388182644e-04,2.0742736009e-02
4.0000000000e-02,2.4031783680e+01,2.0776997754e-04,4.1485499432e-02
6.0000000000e-02,2.4031052036e+01,3.1166445433e-04,6.2228290273e-02
8.0000000000e-02,2.4030320340e+01,4.1556525782e-04,8.2971108536e-02
1.0000000000e-01,2.4029588594e+01,5.1947238905e-04,1.0371395422e-01
1.2000000000e-01,2.4028856795e+01,6.2338584904e-04,1.2445682734e-01
1.4000000000e-01,2.4028124945e+01,7.2730563881e-04,1.4519972789e-01
1.6000000000e-01,2.4027393044e+01,8.3123175938e-04,1.6594265588e-01
1.8000000000e-01,2.4026661090e+01,9.3516421179e-04,1.8668561131e-01
2.0000000000e-01,2.4025929086e+01,1.0391029970e-03,2.0742859418e-01
2.2000000000e-01,2.4025197030e+01,1.1430481162e-03,2.2817160450e-01
2.4000000000e-01,2.4024464922e+01,1.2469995702e-03,2.4891464227e-01
2.6000000000e-01,2.4023732763e+01,1.3509573602e-03,2.6965770749e-01
2.8000000000e-01,2.4023000552e+01,1.4549214871e-03,2.9040080017e-01
3.0000000000e-01,2.4022268289e+01,1.5588919520e-03,3.1114392032e-01
3.2000000000e-01,2.4021535975e+01,1.6628687560e-03,3.3188706793e-01
3.4000000000e-01,2.4020803610e+01,1.7668518999e-03,3.5263024301e-01
3.6000000000e-01,2.4020071193e+01,1.8708413849e-03,3.7337344556e-01
3.8000000000e-01,2.4019338724e+01,1.9748372120e-03,3.9411667560e-01
4.0000000000e-01,2.4018606204e+01,2.0788393822e-03,4.1485993311e-01
4.2000000000e-01,2.4017873632e+01,2.1828478966e-03,4.3560321810e-01
4.4000000000e-01,2.4017141009e+01,2.2868627561e-03,4.5634653059e-01
4.6000000000e-01,2.4016408334e+01,2.3908839618e-03,4.7708987056e-01
4.8000000000e-01,2.4015675608e+01,2.4949115147e-03,4.9783323804e-01
5.0000000000e-01,2.4014942830e+01,2.5989454159e-03,5.1857663301e-01
5.2000000000e-01,2.4014210000e+01,2.7029856663e-03,5.3932005548e-01
5.4000000000e-01,2.4013477119e+01,2.8070322671e-03,5.6006350546e-01
5.6000000000e-01,2.4012744187e+01,2.9110852192e-03,5.8080698295e-01
5.8000000000e-01,2.4012011203e+01,3.0151445236e-03,6.0155048795e-01
6.0000000000e-01,2.4011278167e+01,3.1192101815e-03,6.2229402047e-01
6.2000000000e-01,2.4010545080e+01,3.2232821937e-03,6.4303758052e-01
6.4000000000e-01,2.4009811941e+01,3.3273605614e-03,6.6378116808e-01
6.6000000000e-01,2.4009078751e+01,3.4314452856e-03,6.8452478318e-01
6.8000000000e-01,2.4008345509e+01,3.5355363673e-03,7.0526842581e-01
7.0000000000e-01,2.4007612216e+01,3.6396338075e-03,7.2601209597e-01
7.2000000000e-01,2.4006878871e+01,3.7437376073e-03,7.4675579367e-01
7.4000000000e-01,2.4006145474e+01,3.8478477677e-03,7.6749951892e-01
7.6000000000e-01,2.4005412026e+01,3.9519642897e-03,7.8824327171e-01
7.8000000000e-01,2.4004678527e+01,4.0560871743e-03,8.0898705206e-01
8.0000000000e-01,2.4003944976e+01,4.1602164227e-03,8.2973085996e-01
8.2000000000e-01,2.4003211373e+01,4.2643520357e-03,8.5047469542e-01
8.4000000000e-01,2.4002477719e+01,4.3684940145e-03,8.7121855843e-01
8.6000000000e-01,2.4001744013e+01,4.4726423601e-03,8.9196244902e-01
8.8000000000e-01,2.4001010256e+01,4.5767970735e-03,9.1270636717e-01
9.0000000000e-01,2.4000276447e+01,4.6809581557e-03,9.3345031290e-01
9.2000000000e-01,2.3999542587e+01,4.7851256078e-03,9.5419428620e-01
9.4000000000e-01,2.3998808675e+01,4.8892994308e-03,9.7493828709e-01
9.6000000000e-01,2.3998074712e+01,4.9934796258e-03,9.9568231555e-01
9.8000000000e-01,2.3997340697e+01,5.0976661937e-03,1.0164263716e+00
1.0000000000e+00,2.3996606630e+01,5.2018591356e-03,1.0371704553e+00
1.0210000000e+00,2.3995835805e+01,5.3112685857e-03,1.0589517728e+00
1.0410000000e+00,2.3995101633e+01,5.4154745976e-03,1.0796959130e+00
1.0610000000e+00,2.3994367409e+01,5.5196869866e-03,1.1004400808e+00
1.0810000000e+00,2.3993633134e+01,5.6239057537e-03,1.1211842763e+00
1.1010000000e+00,2.3992898807e+01,5.7281309001e-03,1.1419284993e+00
1.1210000000e+00,2.3992164429e+01,5.8323624267e-03,1.1626727499e+00
1.1410000000e+00,2.3991429999e+01,5.9366003347e-03,1.1834170282e+00
1.1610000000e+00,2.3990695517e+01,6.0408446249e-03,1.2041613341e+00
1.1810000000e+00,2.3989960985e+01,6.1450952985e-03,1.2249056676e+00
1.2010000000e+00,2.3989226400e+01,6.2493523564e-03,1.2456500288e+00
1.2210000000e+00,2.3988491764e+01,6.3536157998e-03,1.2663944176e+00
1.2410000000e+00,2.3987757077e+01,6.4578856297e-03,1.2871388340e+00
1.2610000000e+00,2.3987022338e+01,6.5621618470e-03,1.3078832780e+00
1.2810000000e+00,2.3986287547e+01,6.6664444529e-03,1.3286277497e+00
1.3010000000e+00,2.3985552705e+01,6.7707334483e-03,1.3493722491e+00
1.3210000000e+00,2.3984817811e+01,6.8750288343e-03,1.3701167761e+00
1.3410000000e+00,2.3984082866e+01,6.9793306120e-03,1.3908613307e+00
1.3610000000e+00,2.3983347869e+01,7.0836387823e-03,1.4116059130e+00
1.3810000000e+00,2.3982612821e+01,7.1879533463e-03,1.4323505230e+00
1.4010000000e+00,2.3981877721e+01,7.2922743051e-03,1.4530951606e+00
1.4210000000e+00,2.3981142570e+01,7.3966016596e-03,1.4738398259e+00
1.4410000000e+00,2.3980407367e+01,7.5009354109e-03,1.4945845189e+00
1.4610000000e+00,2.3979672113e+01,7.6052755601e-03,1.5153292395e+00
1.4810000000e+00,2.3978936807e+01,7.7096221082e-03,1.5360739879e+00
1.5010000000e+00,2.3978201449e+01,7.8139750562e-03,1.5568187639e+00
1.5210000000e+00,2.3977466040e+01,7.9183344052e-03,1.5775635676e+00
1.5410000000e+00,2.3976730580e+01,8.0227001561e-03,1.5983083990e+00
1.5610000000e+00,2.3975995068e+01,8.1270723101e-03,1.6190532581e+00
1.5810000000e+00,2.3975259504e+01,8.2314508682e-03,1.6397981449e+00
1.6010000000e+00,2.3974523889e+01,8.3358358314e-03,1.6605430594e+00
1.6210000000e+00,2.3973788222e+01,8.4402272007e-03,1.6812880016e+00
1.6410000000e+00,2.3973052504e+01,8.5446249772e-03,1.7020329715e+00
1.6610000000e+00,2.3972316735e+01,8.6490291620e-03,1.7227779691e+00
1.6810000000e+00,2.3971580913e+01,8.7534397560e-03,1.7435229945e+00
1.7010000000e+00,2.3970845041e+01,8.8578567603e-03,1.7642680475e+00
1.7210000000e+00,2.3970109116e+01,8.9622801760e-03,1.7850131283e+00
1.7410000000e+00,2.3969373140e+01,9.0667100040e-03,1.8057582368e+00
1.7610000000e+00,2.3968637113e+01,9.1711462455e-03,1.8265033731e+00
1.7810000000e+00,2.3967901034e+01,9.2755889015e-03,1.8472485371e+00
1.8010000000e+00,2.3967164904e+01,9.3800379729e-03,1.8679937288e+00
1.8210000000e+00,2.3966428722e+01,9.4844934609e-03,1.8887389483e+00
1.8410000000e+00,2.3965692489e+01,9.5889553665e-03,1.9094841955e+00
1.8610000000e+00,2.3964956204e+01,9.6934236907e-03,1.9302294705e+00
1.8810000000e+00,2.3964219867e+01,9.7978984345e-03,1.9509747732e+00
1.9010000000e+00,2.3963483479e+01,9.9023795991e-03,1.9717201037e+00
1.9210000000e+00,2.3962747040e+01,1.0006867185e-02,1.9924654619e+00
1.9410000000e+00,2.3962010549e+01,1.0111361195e-02,2.0132108479e+00
1.9610000000e+00,2.3961274006e+01,1.0215861627e-02,2.0339562617e+00
1.9810000000e+00,2.3960537412e+01,1.0320368485e-02,2.0547017033e+00
2.0010000000e+00,2.3959800766e+01,1.0424881769e-02,2.0754471726e+00
2.0210000000e+00,2.3959064069e+01,1.0529401480e-02,2.0961926697e+00
2.0410000000e+00,2.3958327320e+01,1.0633927618e-02,2.1169381946e+00
2.0610000000e+00,2.3957590520e+01,1.0738460186e-02,2.1376837473e+00
2.0810000000e+00,2.3956853669e+01,1.0842999184e-02,2.1584293278e+00
2.1010000000e+00,2.3956116765e+01,1.0947544613e-02,2.1791749360e+00
2.1210000000e+00,2.3955379811e+01,1.1052096474e-02,2.1999205721e+00
2.1410000000e+00,2.3954642804e+01,1.1156654768e-02,2.2206662360e+00
2.1610000000e+00,2.3953905747e+01,1.1261219497e-02,2.2414119277e+00
2.1810000000e+00,2.3953168637e+01,1.1365790661e-02,2.2621576472e+00
2.2010000000e+00,2.3952431476e+01,1.1470368261e-02,2.2829033945e+00
2.2210000000e+00,2.3951694264e+01,1.1574952299e-02,2.3036491696e+00
2.2410000000e+00,2.3950957000e+01,1.1679542775e-02,2.3243949726e+00
2.2610000000e+00,2.3950219685e+01,1.1784139690e-02,2.3451408033e+00
2.2810000000e+00,2.3949482318e+01,1.1888743046e-02,2.3658866619e+00
2.3010000000e+00,2.3948744900e+01,1.1993352844e-02,2.3866325484e+00
2.3210000000e+00,2.3948007430e+01,1.2097969084e-02,2.4073784626e+00
2.3410000000e+00,2.3947269908e+01,1.2202591768e-02,2.4281244048e+00
2.3610000000e+00,2.3946532335e+01,1.2307220897e-02,2.4488703747e+00
2.3810000000e+00,2.3945794711e+01,1.2411856471e-02,2.4696163725e+00
2.4010000000e+00,2.3945057035e+01,1.2516498492e-02,2.4903623982e+00
2.4210000000e+00,2.3944319307e+01,1.2621146961e-02,2.5111084517e+00
2.4410000000e+00,2.3943581528e+01,1.2725801879e-02,2.5318545331e+00
2.4610000000e+00,2.3942843698e+01,1.2830463247e-02,2.5526006423e+00
2.4810000000e+00,2.3942105816e+01,1.2935131066e-02,2.5733467794e+00
2.5010000000e+00,2.3941367882e+01,1.3039805337e-02,2.5940929444e+00
2.5210000000e+00,2.3940629897e+01,1.3144486061e-02,2.6148391372e+00
2.5410000000e+00,2.3939891860e+01,1.3249173239e-02,2.6355853579e+00
2.5610000000e+00,2.3939153772e+01,1.3353866872e-02,2.6563316065e+00
2.5810000000e+00,2.3938415633e+01,1.3458566961e-02,2.6770778830e+00
2.6010000000e+00,2.3937677441e+01,1.3563273508e-02,2.6978241874e+00
2.6210000000e+00,2.3936939199e+01,1.3667986513e-02,2.7185705197e+00
2.6410000000e+00,2.3936200905e+01,1.3772705977e-02,2.7393168799e+00
2.6610000000e+00,2.3935462559e+01,1.3877431902e-02,2.7600632679e+00
2.6810000000e+00,2.3934724162e+01,1.3982164288e-02,2.7808096839e+00
2.7010000000e+00,2.3933985713e+01,1.4086903137e-02,2.8015561278e+00
2.7210000000e+00,2.3933247213e+01,1.4191648449e-02,2.8223025996e+00
2.7410000000e+00,2.3932508661e+01,1.4296400226e-02,2.8430490993e+00
2.7610000000e+00,2.3931770058e+01,1.4401158469e-02,2.8637956269e+00
2.7810000000e+00,2.3931031403e+01,1.4505923178e-02,2.8845421825e+00
