tau,r,phi,t,E
0.000000000000000e+00,1.019692819178290e+01,0.000000000000000e+00,0.000000000000000e+00,-1.000000000000000e-02
2.000000000000001e-02,1.019692911392931e+01,5.770487387253302e-04,2.195177269833874e-02,-1.000000224186029e-02
4.000000000000003e-02,1.019693100852877e+01,1.154097318049771e-03,4.390354506701078e-02,-1.000000684788012e-02
6.000000000000005e-02,1.019693387558028e+01,1.731145627910461e-03,6.585531687838836e-02,-1.000001381805122e-02
8.000000000000006e-02,1.019693771508261e+01,2.308193558244881e-03,8.780708790484425e-02,-1.000002315236167e-02
1.000000000000001e-01,1.019694252703412e+01,2.885240998991001e-03,1.097588579187521e-01,-1.000003485079558e-02
1.200000000000001e-01,1.019694831143277e+01,3.462287840087420e-03,1.317106266924866e-01,-1.000004891333302e-02
1.400000000000001e-01,1.019695506827609e+01,4.039333971473506e-03,1.536623939984238e-01,-1.000006533995004e-02
1.600000000000001e-01,1.019696279756122e+01,4.616379283089537e-03,1.756141596089413e-01,-1.000008413061869e-02
1.800000000000001e-01,1.019697149928485e+01,5.193423664876848e-03,1.975659232964185e-01,-1.000010528530695e-02
2.000000000000001e-01,1.019698117344328e+01,5.770467006777962e-03,2.195176848332367e-01,-1.000012880397878e-02
2.200000000000002e-01,1.019699182003239e+01,6.347509198736742e-03,2.414694439917798e-01,-1.000015468659417e-02
2.400000000000002e-01,1.019700343904765e+01,6.924550130698522e-03,2.634212005444338e-01,-1.000018293310900e-02
2.600000000000002e-01,1.019701603048411e+01,7.501589692610262e-03,2.853729542635876e-01,-1.000021354347518e-02
2.800000000000002e-01,1.019702959433642e+01,8.078627774420678e-03,3.073247049216333e-01,-1.000024651764059e-02
3.000000000000002e-01,1.019704413059879e+01,8.655664266080386e-03,3.292764522909664e-01,-1.000028185554908e-02
3.200000000000002e-01,1.019705963926504e+01,9.232699057542039e-03,3.512281961439852e-01,-1.000031955714046e-02
3.400000000000002e-01,1.019707612032857e+01,9.809732038760476e-03,3.731799362530924e-01,-1.000035962235056e-02
3.600000000000003e-01,1.019709357378236e+01,1.038676309969286e-02,3.951316723906942e-01,-1.000040205111113e-02
3.800000000000003e-01,1.019711199961897e+01,1.096379213029883e-02,4.170834043292014e-01,-1.000044684334990e-02
4.000000000000003e-01,1.019713139783057e+01,1.154081902054060e-02,4.390351318410289e-01,-1.000049399899064e-02
4.200000000000003e-01,1.019715176840890e+01,1.211784366038318e-02,4.609868546985966e-01,-1.000054351795302e-02
4.400000000000003e-01,1.019717311134529e+01,1.269486593979443e-02,4.829385726743291e-01,-1.000059540015274e-02
4.600000000000004e-01,1.019719542663064e+01,1.327188574874526e-02,5.048902855406565e-01,-1.000064964550146e-02
4.800000000000004e-01,1.019721871425546e+01,1.384890297720975e-02,5.268419930700137e-01,-1.000070625390680e-02
5.000000000000003e-01,1.019724297420984e+01,1.442591751516527e-02,5.487936950348420e-01,-1.000076522527238e-02
5.200000000000004e-01,1.019726820648345e+01,1.500292925259269e-02,5.707453912075883e-01,-1.000082655949779e-02
5.400000000000004e-01,1.019729441106554e+01,1.557993807947643e-02,5.926970813607055e-01,-1.000089025647859e-02
5.600000000000004e-01,1.019732158794497e+01,1.615694388580466e-02,6.146487652666527e-01,-1.000095631610634e-02
5.800000000000004e-01,1.019734973711015e+01,1.673394656156945e-02,6.366004426978962e-01,-1.000102473826856e-02
6.000000000000004e-01,1.019737885854913e+01,1.731094599676685e-02,6.585521134269083e-01,-1.000109552284878e-02
6.200000000000004e-01,1.019740895224948e+01,1.788794208139710e-02,6.805037772261695e-01,-1.000116866972645e-02
6.400000000000005e-01,1.019744001819841e+01,1.846493470546474e-02,7.024554338681672e-01,-1.000124417877706e-02
6.600000000000005e-01,1.019747205638269e+01,1.904192375897875e-02,7.244070831253957e-01,-1.000132204987206e-02
6.800000000000005e-01,1.019750506678869e+01,1.961890913195267e-02,7.463587247703584e-01,-1.000140228287888e-02
7.000000000000005e-01,1.019753904940234e+01,2.019589071440478e-02,7.683103585755654e-01,-1.000148487766091e-02
7.200000000000005e-01,1.019757400420920e+01,2.077286839635823e-02,7.902619843135362e-01,-1.000156983407758e-02
7.400000000000005e-01,1.019760993119438e+01,2.134984206784118e-02,8.122136017567985e-01,-1.000165715198423e-02
7.600000000000006e-01,1.019764683034258e+01,2.192681161888694e-02,8.341652106778883e-01,-1.000174683123224e-02
7.800000000000006e-01,1.019768470163812e+01,2.250377693953408e-02,8.561168108493513e-01,-1.000183887166896e-02
8.000000000000006e-01,1.019772354506485e+01,2.308073791982662e-02,8.780684020437423e-01,-1.000193327313772e-02
8.200000000000006e-01,1.019776336060626e+01,2.365769444981415e-02,9.000199840336256e-01,-1.000203003547783e-02
8.400000000000006e-01,1.019780414824540e+01,2.423464641955197e-02,9.219715565915747e-01,-1.000212915852457e-02
8.600000000000007e-01,1.019784590796491e+01,2.481159371910124e-02,9.439231194901743e-01,-1.000223064210927e-02
8.800000000000007e-01,1.019788863974701e+01,2.538853623852912e-02,9.658746725020181e-01,-1.000233448605915e-02
9.000000000000007e-01,1.019793234357352e+01,2.596547386790886e-02,9.878262153997110e-01,-1.000244069019751e-02
