tau,r,phi,t
1.0000000000e-03,9.9987927344e+00,5.0006037064e-05,1.7638460385e-03
2.0000000000e-03,9.9975854770e+00,1.0002415112e-04,3.5277157435e-03
3.0000000000e-03,9.9963782276e+00,1.5005434645e-04,5.2916091212e-03
4.0000000000e-03,9.9951709864e+00,2.0009662737e-04,7.0555261776e-03
5.0000000000e-03,9.9939637534e+00,2.5015099816e-04,8.8194669191e-03
6.0000000000e-03,9.9927565285e+00,3.0021746313e-04,1.0583431352e-02
7.0000000000e-03,9.9915493117e+00,3.5029602658e-04,1.2347419482e-02
8.0000000000e-03,9.9903421031e+00,4.0038669281e-04,1.4111431316e-02
9.0000000000e-03,9.9891349026e+00,4.5048946614e-04,1.5875466859e-02
1.0000000000e-02,9.9879277103e+00,5.0060435086e-04,1.7639526119e-02
1.1000000000e-02,9.9867205261e+00,5.5073135130e-04,1.9403609101e-02
1.2000000000e-02,9.9855133501e+00,6.0087047175e-04,2.1167715812e-02
1.3000000000e-02,9.9843061823e+00,6.5102171654e-04,2.2931846257e-02
1.4000000000e-02,9.9830990226e+00,7.0118508998e-04,2.4696000443e-02
1.5000000000e-02,9.9818918711e+00,7.5136059639e-04,2.6460178376e-02
1.6000000000e-02,9.9806847277e+00,8.0154824009e-04,2.8224380063e-02
1.7000000000e-02,9.9794775925e+00,8.5174802541e-04,2.9988605509e-02
1.8000000000e-02,9.9782704655e+00,9.0195995666e-04,3.1752854721e-02
1.9000000000e-02,9.9770633467e+00,9.5218403817e-04,3.3517127705e-02
2.0000000000e-02,9.9758562361e+00,1.0024202743e-03,3.5281424467e-02
2.1000000000e-02,9.9746491337e+00,1.0526686693e-03,3.7045745013e-02
2.2000000000e-02,9.9734420394e+00,1.1029292276e-03,3.8810089351e-02
2.3000000000e-02,9.9722349533e+00,1.1532019535e-03,4.0574457485e-02
2.4000000000e-02,9.9710278755e+00,1.2034868512e-03,4.2338849423e-02
2.5000000000e-02,9.9698208058e+00,1.2537839253e-03,4.4103265170e-02
2.6000000000e-02,9.9686137443e+00,1.3040931800e-03,4.5867704733e-02
2.7000000000e-02,9.9674066910e+00,1.3544146196e-03,4.7632168118e-02
2.8000000000e-02,9.9661996460e+00,1.4047482485e-03,4.9396655331e-02
2.9000000000e-02,9.9649926091e+00,1.4550940710e-03,5.1161166378e-02
3.0000000000e-02,9.9637855805e+00,1.5054520915e-03,5.2925701267e-02
3.1000000000e-02,9.9625785601e+00,1.5558223144e-03,5.4690260002e-02
3.2000000000e-02,9.9613715478e+00,1.6062047439e-03,5.6454842590e-02
3.3000000000e-02,9.9601645439e+00,1.6565993845e-03,5.8219449038e-02
3.4000000000e-02,9.9589575481e+00,1.7070062405e-03,5.9984079352e-02
3.5000000000e-02,9.9577505606e+00,1.7574253163e-03,6.1748733538e-02
3.6000000000e-02,9.9565435813e+00,1.8078566161e-03,6.3513411602e-02
3.7000000000e-02,9.9553366102e+00,1.8583001445e-03,6.5278113551e-02
3.8000000000e-02,9.9541296474e+00,1.9087559057e-03,6.7042839390e-02
3.9000000000e-02,9.9529226928e+00,1.9592239041e-03,6.8807589127e-02
4.0000000000e-02,9.9517157465e+00,2.0097041441e-03,7.0572362767e-02
4.1000000000e-02,9.9505088084e+00,2.0601966300e-03,7.2337160317e-02
4.2000000000e-02,9.9493018785e+00,2.1107013663e-03,7.4101981783e-02
4.3000000000e-02,9.9480949569e+00,2.1612183573e-03,7.5866827171e-02
4.4000000000e-02,9.9468880436e+00,2.2117476073e-03,7.7631696487e-02
4.5000000000e-02,9.9456811385e+00,2.2622891208e-03,7.9396589739e-02
4.6000000000e-02,9.9444742417e+00,2.3128429022e-03,8.1161506931e-02
4.7000000000e-02,9.9432673532e+00,2.3634089557e-03,8.2926448072e-02
4.8000000000e-02,9.9420604729e+00,2.4139872859e-03,8.4691413165e-02
4.9000000000e-02,9.9408536009e+00,2.4645778971e-03,8.6456402219e-02
5.0000000000e-02,9.9396467372e+00,2.5151807936e-03,8.8221415240e-02
5.1000000000e-02,9.9384398817e+00,2.5657959799e-03,8.9986452232e-02
5.2000000000e-02,9.9372330345e+00,2.6164234604e-03,9.1751513204e-02
5.3000000000e-02,9.9360261956e+00,2.6670632395e-03,9.3516598162e-02
5.4000000000e-02,9.9348193650e+00,2.7177153215e-03,9.5281707110e-02
5.5000000000e-02,9.9336125427e+00,2.7683797109e-03,9.7046840057e-02
5.6000000000e-02,9.9324057287e+00,2.8190564120e-03,9.8811997008e-02
5.7000000000e-02,9.9311989230e+00,2.8697454293e-03,1.0057717797e-01
5.8000000000e-02,9.9299921255e+00,2.9204467672e-03,1.0234238295e-01
5.9000000000e-02,9.9287853364e+00,2.9711604300e-03,1.0410761195e-01
6.0000000000e-02,9.9275785556e+00,3.0218864223e-03,1.0587286498e-01
6.1000000000e-02,9.9263717831e+00,3.0726247483e-03,1.0763814205e-01
6.2000000000e-02,9.9251650189e+00,3.1233754126e-03,1.0940344316e-01
6.3000000000e-02,9.9239582630e+00,3.1741384195e-03,1.1116876831e-01
6.4000000000e-02,9.9227515155e+00,3.2249137734e-03,1.1293411753e-01
6.5000000000e-02,9.9215447762e+00,3.2757014788e-03,1.1469949080e-01
6.6000000000e-02,9.9203380453e+00,3.3265015401e-03,1.1646488814e-01
6.7000000000e-02,9.9191313227e+00,3.3773139617e-03,1.1823030956e-01
6.8000000000e-02,9.9179246084e+00,3.4281387480e-03,1.1999575505e-01
6.9000000000e-02,9.9167179025e+00,3.4789759035e-03,1.2176122464e-01
7.0000000000e-02,9.9155112049e+00,3.5298254327e-03,1.2352671831e-01
7.1000000000e-02,9.9143045157e+00,3.5806873398e-03,1.2529223608e-01
7.2000000000e-02,9.9130978348e+00,3.6315616294e-03,1.2705777797e-01
7.3000000000e-02,9.9118911622e+00,3.6824483060e-03,1.2882334396e-01
7.4000000000e-02,9.9106844980e+00,3.7333473738e-03,1.3058893407e-01
7.5000000000e-02,9.9094778421e+00,3.7842588375e-03,1.3235454830e-01
7.6000000000e-02,9.9082711946e+00,3.8351827013e-03,1.3412018667e-01
7.7000000000e-02,9.9070645555e+00,3.8861189699e-03,1.3588584917e-01
7.8000000000e-02,9.9058579247e+00,3.9370676475e-03,1.3765153582e-01
7.9000000000e-02,9.9046513023e+00,3.9880287388e-03,1.3941724662e-01
8.0000000000e-02,9.9034446882e+00,4.0390022480e-03,1.4118298157e-01
8.1000000000e-02,9.9022380825e+00,4.0899881798e-03,1.4294874069e-01
8.2000000000e-02,9.9010314852e+00,4.1409865384e-03,1.4471452398e-01
8.3000000000e-02,9.8998248963e+00,4.1919973284e-03,1.4648033144e-01
8.4000000000e-02,9.8986183158e+00,4.2430205543e-03,1.4824616309e-01
8.5000000000e-02,9.8974117436e+00,4.2940562205e-03,1.5001201892e-01
8.6000000000e-02,9.8962051798e+00,4.3451043315e-03,1.5177789895e-01
8.7000000000e-02,9.8949986244e+00,4.3961648917e-03,1.5354380318e-01
8.8000000000e-02,9.8937920774e+00,4.4472379056e-03,1.5530973162e-01
8.9000000000e-02,9.8925855388e+00,4.4983233776e-03,1.5707568427e-01
9.0000000000e-02,9.8913790086e+00,4.5494213123e-03,1.5884166114e-01
9.1000000000e-02,9.8901724868e+00,4.6005317142e-03,1.6060766224e-01
9.2000000000e-02,9.8889659734e+00,4.6516545876e-03,1.6237368757e-01
9.3000000000e-02,9.8877594684e+00,4.7027899371e-03,1.6413973714e-01
9.4000000000e-02,9.8865529719e+00,4.7539377672e-03,1.6590581096e-01
9.5000000000e-02,9.8853464837e+00,4.8050980823e-03,1.6767190903e-01
9.6000000000e-02,9.8841400040e+00,4.8562708869e-03,1.6943803136e-01
9.7000000000e-02,9.8829335327e+00,4.9074561856e-03,1.7120417796e-01
9.8000000000e-02,9.8817270698e+00,4.9586539827e-03,1.7297034883e-01
9.9000000000e-02,9.8805206153e+00,5.0098642828e-03,1.7473654397e-01
1.0000000000e-01,9.8793141693e+00,5.0610870905e-03,1.7650276340e-01
1.0100000000e-01,9.8781077317e+00,5.1123224101e-03,1.7826900713e-01
1.0200000000e-01,9.8769013025e+00,5.1635702461e-03,1.8003527514e-01
1.0300000000e-01,9.8756948818e+00,5.2148306032e-03,1.8180156747e-01
1.0400000000e-01,9.8744884695e+00,5.2661034857e-03,1.8356788410e-01
1.0500000000e-01,9.8732820656e+00,5.3173888982e-03,1.8533422505e-01
1.0600000000e-01,9.8720756703e+00,5.3686868452e-03,1.8710059033e-01
1.0700000000e-01,9.8708692833e+00,5.4199973312e-03,1.8886697993e-01
1.0800000000e-01,9.8696629049e+00,5.4713203606e-03,1.9063339387e-01
1.0900000000e-01,9.8684565348e+00,5.5226559382e-03,1.9239983215e-01
1.1000000000e-01,9.8672501733e+00,5.5740040682e-03,1.9416629478e-01
1.1100000000e-01,9.8660438202e+00,5.6253647553e-03,1.9593278177e-01
1.1200000000e-01,9.8648374756e+00,5.6767380039e-03,1.9769929312e-01
1.1300000000e-01,9.8636311394e+00,5.7281238187e-03,1.9946582884e-01
1.1400000000e-01,9.8624248118e+00,5.7795222040e-03,2.0123238893e-01
1.1500000000e-01,9.8612184926e+00,5.8309331645e-03,2.0299897340e-01
1.1600000000e-01,9.8600121819e+00,5.8823567046e-03,2.0476558226e-01
1.1700000000e-01,9.8588058796e+00,5.9337928290e-03,2.0653221552e-01
1.1800000000e-01,9.8575995859e+00,5.9852415420e-03,2.0829887318e-01
1.1900000000e-01,9.8563933006e+00,6.0367028484e-03,2.1006555524e-01
1.2000000000e-01,9.8551870239e+00,6.0881767525e-03,2.1183226172e-01
1.2100000000e-01,9.8539807556e+00,6.1396632589e-03,2.1359899262e-01
1.2200000000e-01,9.8527744959e+00,6.1911623722e-03,2.1536574794e-01
1.2300000000e-01,9.8515682446e+00,6.2426740969e-03,2.1713252770e-01
1.2400000000e-01,9.8503620019e+00,6.2941984376e-03,2.1889933190e-01
1.2500000000e-01,9.8491557676e+00,6.3457353988e-03,2.2066616054e-01
1.2600000000e-01,9.8479495419e+00,6.3972849850e-03,2.2243301364e-01
1.2700000000e-01,9.8467433247e+00,6.4488472008e-03,2.2419989120e-01
1.2800000000e-01,9.8455371160e+00,6.5004220508e-03,2.2596679322e-01
