r,phi
1.000000000000000e+01,0.000000000000000e+00
8.958387338018001e+00,8.031643863033177e-01
7.323171972888474e+01,4.291741899257985e+00
8.958387338511965e+00,7.780300235295444e+00
7.323171972888521e+01,1.126889491152309e+01
8.958387338021852e+00,1.475747343501452e+01
7.323171972888343e+01,1.824604848296576e+01
8.958387338386942e+00,2.173460924365109e+01
7.323171972888608e+01,2.522320149528983e+01
8.958387338043961e+00,2.871178244312796e+01
7.323171972888180e+01,3.220035506709219e+01
8.958387338279147e+00,3.568891827586507e+01
7.323171972888663e+01,3.917750807927899e+01
8.958387338083027e+00,4.266609139137820e+01
7.323171972887992e+01,4.615466165095858e+01
8.958387338192564e+00,4.964322722605686e+01
7.323171972888690e+01,5.313181466315497e+01
7.323171972885150e+01,5.313181522255539e+01
7.323171972888692e+01,5.313181578195581e+01
8.958387338187261e+00,5.662040305681842e+01
7.323171972887980e+01,6.010896879421865e+01
8.958387338086675e+00,6.359753887542879e+01
7.323171972888666e+01,6.708612236587453e+01
8.958387338273743e+00,7.057471203441267e+01
7.323171972888170e+01,7.406327537815802e+01
8.958387338045810e+00,7.755184786078586e+01
7.323171972888611e+01,8.104042894991909e+01
8.958387338383023e+00,8.452902111940307e+01
7.323171972888338e+01,8.801758196224392e+01
8.958387338022217e+00,9.150615694370921e+01
7.323171972888522e+01,9.499473553395295e+01
8.958387338508965e+00,9.848333015582396e+01
7.323171972888471e+01,1.019718885462325e+02
8.958387338017850e+00,1.054604659877498e+02
7.323171972888406e+01,1.089490421177046e+02
8.958387338441497e+00,1.124376017766951e+02
7.323171972888571e+01,1.159261951300070e+02
8.958387338031402e+00,1.194147749484351e+02
7.323171972888260e+01,1.229033487015509e+02
8.958387338326919e+00,1.263919107730726e+02
7.323171972888642e+01,1.298805017138422e+02
8.958387338063590e+00,1.333690839785755e+02
7.323171972888079e+01,1.368576552855424e+02
8.958387338228732e+00,1.403462198138577e+02
7.323171972888682e+01,1.438348082978027e+02
8.958387338116170e+00,1.473233930855897e+02
7.323171972887863e+01,1.508119618693964e+02
8.958387338148096e+00,1.543005288934344e+02
7.323171972888690e+01,1.577891148816279e+02
8.958387338166393e+00,1.612777014919942e+02
7.323171972887920e+01,1.647662678939786e+02
8.958387338101188e+00,1.682548373082492e+02
7.323171972888674e+01,1.717434214656495e+02
8.958387338250787e+00,1.752320105443307e+02
7.323171972888126e+01,1.787205744778988e+02
8.958387338054196e+00,1.822091463707370e+02
7.323171972888628e+01,1.856977280497143e+02
8.958387338351725e+00,1.891863195464908e+02
7.323171972888295e+01,1.926748810620955e+02
8.958387338026798e+00,1.961634553541086e+02
7.323171972888551e+01,1.996520346336632e+02
8.958387338470796e+00,2.031406285493484e+02
7.323171972888436e+01,2.066291876458927e+02
8.958387338017193e+00,2.101177643664912e+02
7.323171972888443e+01,2.136063412236575e+02
8.958387338477859e+00,2.170949001873167e+02
7.323171972888547e+01,2.205834942359025e+02
8.958387338026156e+00,2.240720734308409e+02
7.323171972888301e+01,2.275606478076801e+02
8.958387338354513e+00,2.310492092620967e+02
7.323171972888626e+01,2.345378008199430e+02
8.958387338053216e+00,2.380263824336648e+02
7.323171972888132e+01,2.415149543915989e+02
8.958387338253848e+00,2.450035182449008e+02
7.323171972888673e+01,2.484921074038430e+02
8.958387338098644e+00,2.519806914488493e+02
7.323171972887930e+01,2.554692609755466e+02
8.958387338169755e+00,2.589578272674809e+02
7.323171972888692e+01,2.624464139880045e+02
8.958387338187261e+00,2.659350012628746e+02
7.323171972887980e+01,2.694235670002826e+02
8.958387338086675e+00,2.729121370814756e+02
7.323171972888666e+01,2.764007205719433e+02
8.958387338273743e+00,2.798893102404850e+02
7.323171972888170e+01,2.833778735842180e+02
8.958387338045810e+00,2.868664460668736e+02
7.323171972888611e+01,2.903550271560190e+02
