r,phi
1.000000000000000e+01,0.000000000000000e+00
8.958387338018095e+00,8.031643863032739e-01
7.323171972887390e+01,4.291741786870007e+00
8.958387338018055e+00,7.780318902299740e+00
7.323171972886189e+01,1.126889502289526e+01
8.958387338021616e+00,1.475747341829613e+01
7.323171972886146e+01,1.824604831486410e+01
8.958387338018664e+00,2.173462419612468e+01
7.323171972888834e+01,2.522320160682774e+01
8.958387338017657e+00,2.871177871210771e+01
7.323171972886175e+01,3.220035484286523e+01
8.958387338021852e+00,3.568893322811774e+01
7.323171972882497e+01,3.917750813483621e+01
8.958387338018801e+00,4.266608400599244e+01
7.323171972882720e+01,4.615466142677528e+01
8.958387338018834e+00,4.964323852203383e+01
7.323171972875978e+01,5.313181466278355e+01
8.958387338023860e+00,5.662039303821498e+01
7.323171972873413e+01,6.010896795476531e+01
8.958387338021083e+00,6.359754381626461e+01
7.323171972870968e+01,6.708612124674012e+01
8.958387338021446e+00,7.057469833256242e+01
7.323171972868685e+01,7.406327448279156e+01
8.958387338025101e+00,7.755185284891678e+01
7.323171972871147e+01,8.104042777481362e+01
8.958387338021417e+00,8.452900362701531e+01
7.323171972871896e+01,8.801758106681309e+01
8.958387338020492e+00,9.150615814327570e+01
7.323171972868889e+01,9.499473430286207e+01
8.958387338025013e+00,9.848331265961197e+01
7.323171972870743e+01,1.019718875948790e+02
8.958387338021016e+00,1.054604634377148e+02
7.323171972871205e+01,1.089490408868828e+02
8.958387338020263e+00,1.124376179539781e+02
7.323171972879810e+01,1.159261941229258e+02
8.958387338023044e+00,1.194147724701603e+02
7.323171972877668e+01,1.229033474149277e+02
8.958387338020465e+00,1.263919232481406e+02
7.323171972873192e+01,1.298805007068990e+02
8.958387338020689e+00,1.333690777643526e+02
7.323171972865980e+01,1.368576539428983e+02
8.958387338024675e+00,1.403462322806547e+02
7.323171972871430e+01,1.438348072348031e+02
8.958387338020602e+00,1.473233830586940e+02
7.323171972875321e+01,1.508119605267821e+02
8.958387338020135e+00,1.543005375748525e+02
7.323171972869348e+01,1.577891137627747e+02
8.958387338024760e+00,1.612776920910807e+02
7.323171972864695e+01,1.647662670546687e+02
8.958387338022325e+00,1.682548428691876e+02
7.323171972863776e+01,1.717434203466422e+02
8.958387338021385e+00,1.752319973855379e+02
7.323171972865630e+01,1.787205735826072e+02
8.958387338025231e+00,1.822091519017990e+02
7.323171972865930e+01,1.856977268745115e+02
8.958387338022003e+00,1.891863026799040e+02
7.323171972858331e+01,1.926748801664922e+02
8.958387338022961e+00,1.961634571963388e+02
7.323171972855609e+01,1.996520334024871e+02
8.958387338026686e+00,2.031406117128199e+02
7.323171972856949e+01,2.066291866943928e+02
8.958387338023920e+00,2.101177624910434e+02
7.323171972858142e+01,2.136063399863493e+02
8.958387338023060e+00,2.170949170074996e+02
7.323171972853210e+01,2.205834932223796e+02
8.958387338027800e+00,2.240720715240362e+02
7.323171972853167e+01,2.275606465143126e+02
8.958387338024249e+00,2.310492223023536e+02
7.323171972852299e+01,2.345377998062757e+02
8.958387338023758e+00,2.380263768188943e+02
7.323171972855965e+01,2.415149530422883e+02
8.958387338027284e+00,2.450035313353728e+02
7.323171972856942e+01,2.484921063341893e+02
8.958387338023696e+00,2.519806821136171e+02
7.323171972854867e+01,2.554692596261725e+02
8.958387338023460e+00,2.589578366302038e+02
7.323171972850054e+01,2.624464128623344e+02
8.958387338028841e+00,2.659349911468808e+02
7.323171972844098e+01,2.694235661543306e+02
8.958387338026553e+00,2.729121419254020e+02
7.323171972837159e+01,2.764007194464074e+02
8.958387338025885e+00,2.798892964424406e+02
7.323171972840386e+01,2.833778726826649e+02
8.958387338028771e+00,2.868664509592566e+02
7.323171972845533e+01,2.903550259746295e+02
