r,phi
9.105816387769306e+01,3.243680815222791e+00
3.289867169351555e+01,6.487620589763841e+00
9.105816387769305e+01,9.731560262733478e+00
3.289867169351547e+01,1.297550007561631e+01
9.105816387769303e+01,1.621943977177499e+01
3.289867169351545e+01,1.946337959883675e+01
9.105816387769303e+01,2.270731930054697e+01
3.289867169351545e+01,2.595125912760873e+01
9.105816387769303e+01,2.919519882931896e+01
3.289867169351545e+01,3.243913865638120e+01
9.105816387769303e+01,3.568307835809879e+01
3.289867169351545e+01,3.892701818515499e+01
9.105816387769303e+01,4.217095788687258e+01
3.289867169351545e+01,4.541489771392878e+01
9.105816387769303e+01,4.865883741564637e+01
3.289867169351545e+01,5.190277724270257e+01
9.105816387769303e+01,5.514671694442016e+01
3.289867169351545e+01,5.839065677147636e+01
9.105816387769303e+01,6.163459647319394e+01
3.289867169351545e+01,6.487853630025684e+01
9.105816387769303e+01,6.812247600196341e+01
3.289867169351545e+01,7.136641582904099e+01
9.105816387769303e+01,7.461035553074755e+01
3.289867169351545e+01,7.785429535782514e+01
9.105816387769303e+01,8.109823505953170e+01
3.289867169351545e+01,8.434217488660929e+01
9.105816387769303e+01,8.758611458831585e+01
3.289867169351545e+01,9.083005441539343e+01
9.105816387769303e+01,9.407399411710000e+01
3.289867169351545e+01,9.731793394417758e+01
9.105816387769303e+01,1.005618736458841e+02
3.289867169351545e+01,1.038058134729617e+02
9.105816387769303e+01,1.070497531746683e+02
3.289867169351545e+01,1.102936930017459e+02
9.105816387769303e+01,1.135376327034524e+02
3.289867169351545e+01,1.167815725305300e+02
9.105816387769303e+01,1.200255122322366e+02
3.289867169351545e+01,1.232694520593142e+02
9.105816387769303e+01,1.265133917610207e+02
3.289867169351545e+01,1.297573315880993e+02
9.105816387769303e+01,1.330012712898728e+02
3.289867169351545e+01,1.362452111169824e+02
9.105816387769303e+01,1.394891508187560e+02
3.289867169351545e+01,1.427330906458656e+02
9.105816387769303e+01,1.459770303476391e+02
3.289867169351545e+01,1.492209701747487e+02
9.105816387769303e+01,1.524649098765223e+02
3.289867169351545e+01,1.557088497036319e+02
9.105816387769303e+01,1.589527894054054e+02
3.289867169351545e+01,1.621967292325151e+02
9.105816387769303e+01,1.654406689342886e+02
3.289867169351545e+01,1.686846087613982e+02
9.105816387769303e+01,1.719285484631718e+02
3.289867169351545e+01,1.751724882902814e+02
9.105816387769303e+01,1.784164279920549e+02
3.289867169351545e+01,1.816603678191645e+02
9.105816387769303e+01,1.849043075209381e+02
3.289867169351545e+01,1.881482473480477e+02
9.105816387769303e+01,1.913921870498212e+02
3.289867169351545e+01,1.946361268769308e+02
9.105816387769303e+01,1.978800665787044e+02
3.289867169351545e+01,2.011240064058140e+02
9.105816387769303e+01,2.043679461075875e+02
3.289867169351545e+01,2.076118859346971e+02
9.105816387769303e+01,2.108558256364707e+02
3.289867169351545e+01,2.140997654635803e+02
9.105816387769303e+01,2.173437051653538e+02
3.289867169351545e+01,2.205876449924635e+02
9.105816387769303e+01,2.238315846942370e+02
3.289867169351545e+01,2.270755245213466e+02
9.105816387769303e+01,2.303194642231201e+02
3.289867169351545e+01,2.335634040502298e+02
9.105816387769303e+01,2.368073437520033e+02
3.289867169351545e+01,2.400512835791129e+02
9.105816387769303e+01,2.432952232808865e+02
3.289867169351545e+01,2.465391631079961e+02
9.105816387769303e+01,2.497831028097696e+02
3.289867169351545e+01,2.530270426368792e+02
9.105816387769303e+01,2.562709823384996e+02
3.289867169351545e+01,2.595149221655369e+02
9.105816387769303e+01,2.627588618671942e+02
3.289867169351545e+01,2.660028016942315e+02
9.105816387769303e+01,2.692467413958888e+02
3.289867169351545e+01,2.724906812229261e+02
9.105816387769303e+01,2.757346209245833e+02
3.289867169351545e+01,2.789785607516206e+02
9.105816387769303e+01,2.822225004532779e+02
3.289867169351545e+01,2.854664402803152e+02
9.105816387769303e+01,2.887103799819725e+02
3.289867169351545e+01,2.919543198090098e+02
9.105816387769303e+01,2.951982595106671e+02
